Date0	Precip0	Date_tip	Precip_tip	Date	year.xaxis	Precip	Precip_cum
2012-06-01	0.67	NA	NA	2012-11-01	2012-01-01	11.65	10.98
2013-06-01	0.12	NA	NA	2013-11-01	2013-01-01	10.59	10.47
2014-06-01	0.12	2014-10-28	8.82	2014-11-01	2014-01-01	0.04	8.74
2015-06-01	0.71	NA	NA	2015-11-01	2015-01-01	7.17	6.46
2018-06-01	0.20	2018-10-22	13.43	2018-11-01	2018-01-01	0.16	13.39	
2021-06-01	0.31	NA	NA	2021-11-01	2021-01-01	11.77	11.46
2016-06-01	0.47	NA	NA	2016-11-01	2016-01-01	5.94	5.47
2017-06-06	0.08	2017-09-18	8.46	2017-11-01	2017-01-01	0.08	8.46
2019-06-01	0.04	NA	NA	2019-11-01	2019-01-01	3.43	3.39
2020-06-01	0.20	2020-09-16	6.26	2020-11-01	2020-01-01	0.04	6.10
