# -------------------------------------NOTICE------------------------------------------
# These data readings are Preliminary.
#
# Most data relayed by telemetry have received little or no review.
# Inaccuracies in the data may be present because of instrument
# malfunctions and/or physical changes at the measurement site.
#
# Subsequent review may result in significant revisions to the data.
# * (asterisk) indicates questionable data
#
# Retrieved: 2023-02-10 15:58:57 (MST)
# (Note: Gage clock may be different from current time)
#
# This file contains data for 1 Altar Wash at Highway 286 sensor(s):
# 6380
#
# -------------------------------------------------------------------------------------
#
# Data provided for Altar Wash at Highway 286 sensors
# over the period of '01/01/2020' to '11/30/2020'
#

Sensor ID,Date and Time (MST),Value (in)
6380,2020-11-30 22:04:39,.08,
6380,2020-11-30 10:04:40,.08,
6380,2020-11-29 22:04:39,.08,
6380,2020-11-29 10:04:39,.08,
6380,2020-11-28 22:04:39,.08,
6380,2020-11-28 10:04:39,.08,
6380,2020-11-27 22:04:38,.08,
6380,2020-11-27 10:04:39,.08,
6380,2020-11-26 22:04:38,.08,
6380,2020-11-26 10:04:38,.08,
6380,2020-11-25 22:04:38,.08,
6380,2020-11-25 10:04:38,.08,
6380,2020-11-24 22:04:38,.08,
6380,2020-11-24 10:04:38,.08,
6380,2020-11-23 22:04:38,.08,
6380,2020-11-23 10:04:38,.08,
6380,2020-11-22 22:04:38,.08,
6380,2020-11-22 10:04:38,.08,
6380,2020-11-21 22:04:38,.08,
6380,2020-11-21 10:04:38,.08,
6380,2020-11-20 22:04:38,.08,
6380,2020-11-20 10:04:37,.08,
6380,2020-11-19 22:04:38,.08,
6380,2020-11-19 10:04:37,.08,
6380,2020-11-18 22:04:37,.08,
6380,2020-11-18 10:04:39,.08,
6380,2020-11-17 22:04:38,.08,
6380,2020-11-17 10:04:38,.08,
6380,2020-11-16 22:04:38,.08,
6380,2020-11-16 10:04:38,.08,
6380,2020-11-15 22:04:38,.08,
6380,2020-11-15 10:04:38,.08,
6380,2020-11-14 22:04:38,.08,
6380,2020-11-14 10:04:38,.08,
6380,2020-11-13 22:04:38,.08,
6380,2020-11-13 10:04:38,.08,
6380,2020-11-12 22:04:38,.08,
6380,2020-11-12 10:04:38,.08,
6380,2020-11-11 22:04:38,.08,
6380,2020-11-11 10:04:37,.08,
6380,2020-11-10 22:04:37,.08,
6380,2020-11-10 10:04:38,.08,
6380,2020-11-09 10:04:38,.08,
6380,2020-11-09 04:11:14,.08,
6380,2020-11-08 22:04:37,.04,
6380,2020-11-08 10:04:37,.04,
6380,2020-11-07 22:04:37,.04,
6380,2020-11-07 10:04:38,.04,
6380,2020-11-06 22:04:37,.04,
6380,2020-11-06 10:04:38,.04,
6380,2020-11-05 22:04:38,.04,
6380,2020-11-05 10:04:38,.04,
6380,2020-11-04 22:04:38,.04,
6380,2020-11-04 10:04:38,.04,
6380,2020-11-03 22:04:38,.04,
