"Channel","Station","Year","channel.trt","station.trt","shan"
"Channel 12","Station 1 + 04",2012-11-01,"Channel 12: No treatment","No treatment",1.5414713663635
"Channel 12","Station 1 + 04",2013-11-01,"Channel 12: No treatment","No treatment",1.70056481330265
"Channel 12","Station 1 + 04",2014-11-01,"Channel 12: No treatment","No treatment",0.938073771811968
"Channel 12","Station 1 + 04",2015-11-01,"Channel 12: No treatment","No treatment",1.05215321223104
"Channel 12","Station 1 + 04",2018-11-01,"Channel 12: No treatment","No treatment",1.00143849133838
"Channel 12","Station 1 + 04",2021-11-01,"Channel 12: No treatment","No treatment",0.901235352054727
"Channel 12","Station 1 + 52",2012-11-01,"Channel 12: No treatment","No treatment",1.7180591787588
"Channel 12","Station 1 + 52",2013-11-01,"Channel 12: No treatment","No treatment",1.94007575803872
"Channel 12","Station 1 + 52",2014-11-01,"Channel 12: No treatment","No treatment",1.31242692599055
"Channel 12","Station 1 + 52",2015-11-01,"Channel 12: No treatment","No treatment",1.28207620589568
"Channel 12","Station 1 + 52",2018-11-01,"Channel 12: No treatment","No treatment",1.11207450216064
"Channel 12","Station 1 + 52",2021-11-01,"Channel 12: No treatment","No treatment",1.32032744951423
"Channel 12","Station 1 + 83",2012-11-01,"Channel 12: No treatment","No treatment",0.801792720407733
"Channel 12","Station 1 + 83",2013-11-01,"Channel 12: No treatment","No treatment",1.10717793280426
"Channel 12","Station 1 + 83",2014-11-01,"Channel 12: No treatment","No treatment",1.21372008259041
"Channel 12","Station 1 + 83",2015-11-01,"Channel 12: No treatment","No treatment",1.19279799375003
"Channel 12","Station 1 + 83",2018-11-01,"Channel 12: No treatment","No treatment",1.10708741893815
"Channel 12","Station 1 + 83",2021-11-01,"Channel 12: No treatment","No treatment",0.759799892000882
"Channel 12","Station 2 + 63",2012-11-01,"Channel 12: No treatment","No treatment",1.0387099392832
"Channel 12","Station 2 + 63",2013-11-01,"Channel 12: No treatment","No treatment",1.64553463399961
"Channel 12","Station 2 + 63",2014-11-01,"Channel 12: No treatment","No treatment",1.2844264323753
"Channel 12","Station 2 + 63",2015-11-01,"Channel 12: No treatment","No treatment",1.16478616143076
"Channel 12","Station 2 + 63",2018-11-01,"Channel 12: No treatment","No treatment",1.84241432930961
"Channel 12","Station 2 + 63",2021-11-01,"Channel 12: No treatment","No treatment",0.706603393650401
"Channel 12","Station 2 + 98",2012-11-01,"Channel 12: No treatment","No treatment",1.20640498131097
"Channel 12","Station 2 + 98",2013-11-01,"Channel 12: No treatment","No treatment",1.31228330855701
"Channel 12","Station 2 + 98",2014-11-01,"Channel 12: No treatment","No treatment",1.55068953883342
"Channel 12","Station 2 + 98",2015-11-01,"Channel 12: No treatment","No treatment",1.08595449921092
"Channel 12","Station 2 + 98",2018-11-01,"Channel 12: No treatment","No treatment",0.821541437939155
"Channel 12","Station 2 + 98",2021-11-01,"Channel 12: No treatment","No treatment",1.2361364089897
"Channel 12","Station 3 + 93",2012-11-01,"Channel 12: No treatment","No treatment",1.34473613644369
"Channel 12","Station 3 + 93",2013-11-01,"Channel 12: No treatment","No treatment",1.2445010254415
"Channel 12","Station 3 + 93",2014-11-01,"Channel 12: No treatment","No treatment",1.35184033450331
"Channel 12","Station 3 + 93",2015-11-01,"Channel 12: No treatment","No treatment",1.53409255923976
"Channel 12","Station 3 + 93",2018-11-01,"Channel 12: No treatment","No treatment",1.52040068694759
"Channel 12","Station 3 + 93",2021-11-01,"Channel 12: No treatment","No treatment",1.5042408823429
"Channel 12","Station 4 + 00",2012-11-01,"Channel 12: No treatment","No treatment",1.31595330619536
"Channel 12","Station 4 + 00",2013-11-01,"Channel 12: No treatment","No treatment",1.31823229494411
"Channel 12","Station 4 + 00",2014-11-01,"Channel 12: No treatment","No treatment",0.863300095936082
"Channel 12","Station 4 + 00",2015-11-01,"Channel 12: No treatment","No treatment",1.34265116769461
"Channel 12","Station 4 + 00",2018-11-01,"Channel 12: No treatment","No treatment",1.78975436229342
"Channel 12","Station 4 + 00",2021-11-01,"Channel 12: No treatment","No treatment",1.36977756182706
"Channel 12","Station 4 + 09",2012-11-01,"Channel 12: No treatment","No treatment",1.49931262966908
"Channel 12","Station 4 + 09",2013-11-01,"Channel 12: No treatment","No treatment",1.84292824130743
"Channel 12","Station 4 + 09",2014-11-01,"Channel 12: No treatment","No treatment",1.69961242953177
"Channel 12","Station 4 + 09",2015-11-01,"Channel 12: No treatment","No treatment",1.82740869978285
"Channel 12","Station 4 + 09",2018-11-01,"Channel 12: No treatment","No treatment",1.50036255821135
"Channel 12","Station 4 + 09",2021-11-01,"Channel 12: No treatment","No treatment",2.0683209857199
"Channel 12","Station 4 + 56",2012-11-01,"Channel 12: No treatment","No treatment",1.0934591796547
"Channel 12","Station 4 + 56",2013-11-01,"Channel 12: No treatment","No treatment",1.52061471070329
"Channel 12","Station 4 + 56",2014-11-01,"Channel 12: No treatment","No treatment",1.31141758352486
"Channel 12","Station 4 + 56",2015-11-01,"Channel 12: No treatment","No treatment",1.42505327436094
"Channel 12","Station 4 + 56",2018-11-01,"Channel 12: No treatment","No treatment",1.38796308563465
"Channel 12","Station 4 + 56",2021-11-01,"Channel 12: No treatment","No treatment",0.610671627847054
"Channel 12","Station 4 + 65",2012-11-01,"Channel 12: No treatment","No treatment",1.31007346159741
"Channel 12","Station 4 + 65",2014-11-01,"Channel 12: No treatment","No treatment",0.420536395821623
"Channel 12","Station 4 + 65",2015-11-01,"Channel 12: No treatment","No treatment",1.44848941750168
"Channel 12","Station 4 + 65",2018-11-01,"Channel 12: No treatment","No treatment",1.02122262104517
"Channel 12","Station 4 + 65",2021-11-01,"Channel 12: No treatment","No treatment",0.976098500305569
"Channel 12","Station 5 + 13",2012-11-01,"Channel 12: No treatment","No treatment",1.13729719999257
"Channel 12","Station 5 + 13",2013-11-01,"Channel 12: No treatment","No treatment",1.91029641814545
"Channel 12","Station 5 + 13",2014-11-01,"Channel 12: No treatment","No treatment",1.11913480581406
"Channel 12","Station 5 + 13",2015-11-01,"Channel 12: No treatment","No treatment",1.66023147459112
"Channel 12","Station 5 + 13",2018-11-01,"Channel 12: No treatment","No treatment",1.21310729154978
"Channel 12","Station 5 + 13",2021-11-01,"Channel 12: No treatment","No treatment",1.38240291584206
"Channel 12","Station 5 + 48",2012-11-01,"Channel 12: No treatment","No treatment",1.33057225938524
"Channel 12","Station 5 + 48",2013-11-01,"Channel 12: No treatment","No treatment",1.43507509765543
"Channel 12","Station 5 + 48",2014-11-01,"Channel 12: No treatment","No treatment",0.914487320548394
"Channel 12","Station 5 + 48",2015-11-01,"Channel 12: No treatment","No treatment",1.35454508293254
"Channel 12","Station 5 + 48",2018-11-01,"Channel 12: No treatment","No treatment",1.27950513923616
"Channel 12","Station 5 + 48",2021-11-01,"Channel 12: No treatment","No treatment",1.23823604875384
"Channel 12","Station 6 + 30",2012-11-01,"Channel 12: No treatment","No treatment",0.930171660211468
"Channel 12","Station 6 + 30",2013-11-01,"Channel 12: No treatment","No treatment",0.974229916314775
"Channel 12","Station 6 + 30",2014-11-01,"Channel 12: No treatment","No treatment",0.480025680590882
"Channel 12","Station 6 + 30",2015-11-01,"Channel 12: No treatment","No treatment",0.737162114998889
"Channel 12","Station 6 + 30",2018-11-01,"Channel 12: No treatment","No treatment",0.743288908924741
"Channel 12","Station 6 + 30",2021-11-01,"Channel 12: No treatment","No treatment",1.18887398426836
"Channel 12","Station 6 + 93",2012-11-01,"Channel 12: No treatment","No treatment",0.7221063497967
"Channel 12","Station 6 + 93",2013-11-01,"Channel 12: No treatment","No treatment",0.712864890782891
"Channel 12","Station 6 + 93",2014-11-01,"Channel 12: No treatment","No treatment",0.834985279003699
"Channel 12","Station 6 + 93",2015-11-01,"Channel 12: No treatment","No treatment",1.27989739695597
"Channel 12","Station 6 + 93",2018-11-01,"Channel 12: No treatment","No treatment",0.872513968674999
"Channel 12","Station 6 + 93",2021-11-01,"Channel 12: No treatment","No treatment",0.762688648334641
