"Common","Scientific","Functional","Native","Year","Quadrat","Cover","Station"
"Lehmann lovegrass","Eragrostis lehmanniana","Perennial grass","Invasive",2021-11-01,"2L",0.5,"Channel 12_Station 1 + 04"
"Lehmann lovegrass","Eragrostis lehmanniana","Perennial grass","Invasive",2021-11-01,"1L",0,"Channel 12_Station 1 + 04"
"Lehmann lovegrass","Eragrostis lehmanniana","Perennial grass","Invasive",2021-11-01,"1R",0.5,"Channel 12_Station 1 + 04"
"Lehmann lovegrass","Eragrostis lehmanniana","Perennial grass","Invasive",2021-11-01,"2R",0.5,"Channel 12_Station 1 + 04"
"Lehmann lovegrass","Eragrostis lehmanniana","Perennial grass","Invasive",2018-11-01,"2L",0,"Channel 12_Station 1 + 04"
"Lehmann lovegrass","Eragrostis lehmanniana","Perennial grass","Invasive",2018-11-01,"1L",0,"Channel 12_Station 1 + 04"
"Lehmann lovegrass","Eragrostis lehmanniana","Perennial grass","Invasive",2018-11-01,"1R",0,"Channel 12_Station 1 + 04"
"Lehmann lovegrass","Eragrostis lehmanniana","Perennial grass","Invasive",2018-11-01,"2R",0.5,"Channel 12_Station 1 + 04"
"Lehmann lovegrass","Eragrostis lehmanniana","Perennial grass","Invasive",2012-03-01,"3L",0,"Channel 12_Station 1 + 04"
"Lehmann lovegrass","Eragrostis lehmanniana","Perennial grass","Invasive",2012-03-01,"2L",0,"Channel 12_Station 1 + 04"
"Lehmann lovegrass","Eragrostis lehmanniana","Perennial grass","Invasive",2012-03-01,"1L",0,"Channel 12_Station 1 + 04"
"Lehmann lovegrass","Eragrostis lehmanniana","Perennial grass","Invasive",2012-03-01,"1R",0,"Channel 12_Station 1 + 04"
"Lehmann lovegrass","Eragrostis lehmanniana","Perennial grass","Invasive",2012-03-01,"2R",0,"Channel 12_Station 1 + 04"
"Lehmann lovegrass","Eragrostis lehmanniana","Perennial grass","Invasive",2012-03-01,"3R",0,"Channel 12_Station 1 + 04"
"Lehmann lovegrass","Eragrostis lehmanniana","Perennial grass","Invasive",2012-11-01,"3L",0,"Channel 12_Station 1 + 04"
"Lehmann lovegrass","Eragrostis lehmanniana","Perennial grass","Invasive",2012-11-01,"2L",0,"Channel 12_Station 1 + 04"
"Lehmann lovegrass","Eragrostis lehmanniana","Perennial grass","Invasive",2012-11-01,"1L",0,"Channel 12_Station 1 + 04"
"Lehmann lovegrass","Eragrostis lehmanniana","Perennial grass","Invasive",2012-11-01,"1R",0,"Channel 12_Station 1 + 04"
"Lehmann lovegrass","Eragrostis lehmanniana","Perennial grass","Invasive",2012-11-01,"2R",0,"Channel 12_Station 1 + 04"
"Lehmann lovegrass","Eragrostis lehmanniana","Perennial grass","Invasive",2012-11-01,"3R",0,"Channel 12_Station 1 + 04"
"Lehmann lovegrass","Eragrostis lehmanniana","Perennial grass","Invasive",2013-11-01,"3L",2.5,"Channel 12_Station 1 + 04"
"Lehmann lovegrass","Eragrostis lehmanniana","Perennial grass","Invasive",2013-11-01,"2L",0.5,"Channel 12_Station 1 + 04"
"Lehmann lovegrass","Eragrostis lehmanniana","Perennial grass","Invasive",2013-11-01,"1L",0,"Channel 12_Station 1 + 04"
"Lehmann lovegrass","Eragrostis lehmanniana","Perennial grass","Invasive",2013-11-01,"1R",0,"Channel 12_Station 1 + 04"
"Lehmann lovegrass","Eragrostis lehmanniana","Perennial grass","Invasive",2013-11-01,"2R",0,"Channel 12_Station 1 + 04"
