Sample,Channel,Station,Treatment3,CV
1,Channel 21,Station 01 + 07.5 BAF,Treated,0.4820542889087027
2,Channel 21,Station 01 + 49 ORD,Treated,0.20383126783383204
3,Channel 21,Station 02 + 15 BAF,Treated,0.5161884812024955
4,Channel 21,Station 03 + 80 BAF,Treated,0.8665667126984559
5,Channel 21,Station 04 + 90 ORD,Treated,0.5134888389512006
6,Channel 21,Station 06 + 36 BAF,Treated,0.4426584034567274
7,Channel 21,Station 07 + 49.5 ORD,Treated,0.8861797134602629
8,Channel 21,Station 07 + 66 BAF,Treated,0.818253299130814
9,Channel 21,Station 08 + 62 BAF,Treated,0.3225395629401645
10,Channel 21,Station 09 + 99 ORD,Treated,0.709216151686581
11,Channel 21,Station 10 + 13 BAF,Treated,0.7109114272757587
12,Channel 21,Station 11 + 12 ORD,Treated,0.15426948519033534
13,Channel 21,Station 11 + 24 BAF,Treated,0.23143270867036422
14,Channel 21,Station 11 + 63 ORD,Treated,0.24481007964418022
15,Channel 21,Station 11 + 73 BAF,Treated,0.7676761913032588
16,Channel 19,Station 01 + 04,Control,0.23568206835688443
17,Channel 19,Station 02 + 04,Control,0.5990882385798499
18,Channel 19,Station 02 + 52,Control,0.3754083296516881
19,Channel 19,Station 03 + 63,Control,0.4442843690027676
20,Channel 19,Station 03 + 98,Control,0.3899520047706414
21,Channel 19,Station 05 + 00,Control,0.6136295608587488
22,Channel 19,Station 05 + 09,Control,0.5957360409332237
23,Channel 19,Station 05 + 62,Control,0.4478238769654142
24,Channel 19,Station 06 + 13,Control,0.36199767789246307
25,Channel 19,Station 06 + 97,Control,0.8478876528071698
26,Channel 19,Station 07 + 30,Control,0.8068770724236553
27,Channel 19,Station 07 + 50,Control,0.8874050414016225
28,Channel 19,Station 07 + 97,Control,0.49091553827005324
29,Channel 19,Station 09 + 05,Control,0.5931567258974955
30,Channel 19,Station 09 + 26,Control,0.47268379342934336
31,Channel 19,Station 09 + 68,Control,0.7984307581164696
32,Channel 19,Station 10 + 98,Control,0.842676709171293
33,Channel 13,Station 1 + 11.5 BAF,Treated,0.5755735670685719
34,Channel 13,Station 1 + 38.5 ORD,Treated,0.2630154890229009
35,Channel 13,Station 1 + 71 BAF,Treated,0.28632208711323626
36,Channel 13,Station 1 + 77 ORD,Treated,0.16049934657513612
37,Channel 13,Station 1 + 99 ORD,Treated,0.17363845696988722
38,Channel 13,Station 2 + 16 BAF,Treated,0.45603930416282673
39,Channel 13,Station 2 + 57 ORD,Treated,0.5799464987583028
40,Channel 13,Station 2 + 67 BAF,Treated,0.43650828831234023
41,Channel 13,Station 3 + 09 ORD,Treated,0.5153670506056635
42,Channel 13,Station 3 + 31 BAF,Treated,0.23914362682221002
43,Channel 13,Station 3 + 65 ORD,Treated,0.41695101128730705
44,Channel 13,Station 3 + 95.5 ORD,Treated,0.2845866862435651
45,Channel 13,Station 4 + 14.5 BAF,Treated,0.2925291981299262
46,Channel 13,Station 4 + 36 ORD,Treated,0.513174598880815
47,Channel 13,Station 4 + 50 BAF,Treated,0.46380514705866377
48,Channel 13,Station 4 + 78 ORD,Treated,0.2084865404790193
49,Channel 12,Station 1 + 04,Control,0.2555456428728223
50,Channel 12,Station 1 + 52,Control,0.33537419684595743
51,Channel 12,Station 1 + 83,Control,0.3441763192553514
52,Channel 12,Station 2 + 63,Control,0.25015156887389084
53,Channel 12,Station 2 + 98,Control,0.3237323388451871
54,Channel 12,Station 3 + 93,Control,0.32338269216253895
55,Channel 12,Station 4 + 00,Control,0.42602396337516246
56,Channel 12,Station 4 + 09,Control,0.32363426849584614
57,Channel 12,Station 4 + 56,Control,0.19892758475065533
58,Channel 12,Station 4 + 65,Control,0.28462843195531773
59,Channel 12,Station 5 + 13,Control,0.2552752573335333
60,Channel 12,Station 5 + 48,Control,0.20622617138970598
61,Channel 12,Station 6 + 30,Control,0.36664490543189904
62,Channel 12,Station 6 + 93,Control,0.2865283430841562
