"Channel","Year","year.date","year.xaxis","channel.trt","mean","SD","SE"
"Channel 12","2012",2012-11-01,2012-01-01,"Channel 12: No treatment",1.21358002636217,0.282386808372341,0.0754710491052777
"Channel 12","2013",2013-11-01,2013-01-01,"Channel 12: No treatment",1.43572146476901,0.373700605733691,0.103645899664983
"Channel 12","2014",2014-11-01,2014-01-01,"Channel 12: No treatment",1.09247690549117,0.371623783492914,0.0993206339005102
"Channel 12","2015",2015-11-01,2015-01-01,"Channel 12: No treatment",1.31337851861263,0.271354484164939,0.0725225364364268
"Channel 12","2018",2018-11-01,2018-01-01,"Channel 12: No treatment",1.22947677158599,0.34304675430522,0.0916831015896394
"Channel 12","2021",2021-11-01,2021-01-01,"Channel 12: No treatment",1.1446724036751,0.392066625237363,0.104784213173351
"Channel 13","2012",2012-11-01,2012-01-01,"Channel 13: In-channel treatment",1.13243158959092,0.461846665294646,0.115461666323662
"Channel 13","2013",2013-11-01,2013-01-01,"Channel 13: In-channel treatment",0.963120486120484,0.395199403341904,0.105621483340206
"Channel 13","2014",2014-11-01,2014-01-01,"Channel 13: In-channel treatment",1.03450043662853,0.467021956885897,0.116755489221474
"Channel 13","2015",2015-11-01,2015-01-01,"Channel 13: In-channel treatment",1.24631604795373,0.335796109485512,0.0839490273713781
"Channel 13","2018",2018-11-01,2018-01-01,"Channel 13: In-channel treatment",1.34029012366267,0.349414465671885,0.0873536164179713
"Channel 13","2021",2021-11-01,2021-01-01,"Channel 13: In-channel treatment",1.16042707134257,0.492545176110212,0.123136294027553
"Channel 19","2012",2012-11-01,2012-01-01,"Channel 19: Upland treatment",1.34242716279852,0.348315366723874,0.0870788416809685
"Channel 19","2013",2013-11-01,2013-01-01,"Channel 19: Upland treatment",1.16131718940106,0.496601048733625,0.120443445748308
"Channel 19","2014",2014-11-01,2014-01-01,"Channel 19: Upland treatment",1.28803210561758,0.373744630225664,0.0934361575564159
"Channel 19","2015",2015-11-01,2015-01-01,"Channel 19: Upland treatment",1.20164299421884,0.316045865768513,0.0766523815943153
"Channel 19","2018",2018-11-01,2018-01-01,"Channel 19: Upland treatment",1.19761835007618,0.429775888401111,0.104235963718909
"Channel 19","2021",2021-11-01,2021-01-01,"Channel 19: Upland treatment",1.31492206892815,0.395167208067483,0.0958421258025096
"Channel 21","2012",2012-11-01,2012-01-01,"Channel 21: In-channel treatment",1.0657399992304,0.51416999542327,0.132758121959591
"Channel 21","2013",2013-11-01,2013-01-01,"Channel 21: In-channel treatment",1.15729456099632,0.499269180804669,0.12891074816874
"Channel 21","2014",2014-11-01,2014-01-01,"Channel 21: In-channel treatment",1.2315294974444,0.383179692340223,0.0989365711359045
"Channel 21","2015",2015-11-01,2015-01-01,"Channel 21: In-channel treatment",1.06685439313827,0.493011165841507,0.131762776459493
"Channel 21","2018",2018-11-01,2018-01-01,"Channel 21: In-channel treatment",1.22537516114756,0.40572905327581,0.108435650658445
"Channel 21","2021",2021-11-01,2021-01-01,"Channel 21: In-channel treatment",1.03577474313232,0.468981140763651,0.121090409857532
