"","Year","Sample","dShannon","Name","Treatment3"
"1","2012-2013",1,0.452225394009804,"Channel 21, Station 01 + 07.5 BAF","Treated"
"2","2013-2014",1,-0.338253726487086,"Channel 21, Station 01 + 07.5 BAF","Treated"
"3","2014-2015",1,-0.312642042119197,"Channel 21, Station 01 + 07.5 BAF","Treated"
"4","2015-2018",1,0.143172023826413,"Channel 21, Station 01 + 07.5 BAF","Treated"
"5","2018-2021",1,0.136150436895652,"Channel 21, Station 01 + 07.5 BAF","Treated"
"6","2012-2013",2,-0.264389627123355,"Channel 21, Station 01 + 49 ORD","Treated"
"7","2013-2014",2,0.507100011344953,"Channel 21, Station 01 + 49 ORD","Treated"
"8","2014-2015",2,0.458553967670417,"Channel 21, Station 01 + 49 ORD","Treated"
"9","2015-2018",2,-0.0936956826058643,"Channel 21, Station 01 + 49 ORD","Treated"
"10","2018-2021",2,0.840528403780984,"Channel 21, Station 01 + 49 ORD","Treated"
"11","2012-2013",3,-0.0351079027528894,"Channel 21, Station 02 + 15 BAF","Treated"
"12","2013-2014",3,-0.0549708620226974,"Channel 21, Station 02 + 15 BAF","Treated"
"13","2014-2015",3,0.74859703744034,"Channel 21, Station 02 + 15 BAF","Treated"
"14","2015-2018",3,NA,"Channel 21, Station 02 + 15 BAF","Treated"
"15","2018-2021",3,NA,"Channel 21, Station 02 + 15 BAF","Treated"
"16","2012-2013",4,-0.866049763205909,"Channel 21, Station 03 + 80 BAF","Treated"
"17","2013-2014",4,0.333071723675685,"Channel 21, Station 03 + 80 BAF","Treated"
"18","2014-2015",4,2.18613930997332,"Channel 21, Station 03 + 80 BAF","Treated"
"19","2015-2018",4,-0.827117127356318,"Channel 21, Station 03 + 80 BAF","Treated"
"20","2018-2021",4,-0.104229752689822,"Channel 21, Station 03 + 80 BAF","Treated"
"21","2012-2013",5,-0.0174014544697901,"Channel 21, Station 04 + 90 ORD","Treated"
"22","2013-2014",5,-0.0956920443024007,"Channel 21, Station 04 + 90 ORD","Treated"
"23","2014-2015",5,0.0737355029660792,"Channel 21, Station 04 + 90 ORD","Treated"
"24","2015-2018",5,0.13479034765756,"Channel 21, Station 04 + 90 ORD","Treated"
"25","2018-2021",5,-0.0139546028708029,"Channel 21, Station 04 + 90 ORD","Treated"
"26","2012-2013",6,0.00920371883857235,"Channel 21, Station 06 + 36 BAF","Treated"
"27","2013-2014",6,0.140586418994319,"Channel 21, Station 06 + 36 BAF","Treated"
"28","2014-2015",6,-0.119274310484266,"Channel 21, Station 06 + 36 BAF","Treated"
"29","2015-2018",6,-0.0159113232896589,"Channel 21, Station 06 + 36 BAF","Treated"
"30","2018-2021",6,0.120018128899645,"Channel 21, Station 06 + 36 BAF","Treated"
"31","2012-2013",7,-0.790583964760436,"Channel 21, Station 07 + 49.5 ORD","Treated"
"32","2013-2014",7,-0.0838722160761071,"Channel 21, Station 07 + 49.5 ORD","Treated"
"33","2014-2015",7,0.468926373105429,"Channel 21, Station 07 + 49.5 ORD","Treated"
"34","2015-2018",7,-0.17476489909981,"Channel 21, Station 07 + 49.5 ORD","Treated"
"35","2018-2021",7,-0.027760120732562,"Channel 21, Station 07 + 49.5 ORD","Treated"
"36","2012-2013",8,0.0710409644337329,"Channel 21, Station 07 + 66 BAF","Treated"
"37","2013-2014",8,-1.35358654749384,"Channel 21, Station 07 + 66 BAF","Treated"
"38","2014-2015",8,NA,"Channel 21, Station 07 + 66 BAF","Treated"
"39","2015-2018",8,NA,"Channel 21, Station 07 + 66 BAF","Treated"
"40","2018-2021",8,0.281202128945752,"Channel 21, Station 07 + 66 BAF","Treated"
"41","2012-2013",9,0.0147697269432023,"Channel 21, Station 08 + 62 BAF","Treated"
"42","2013-2014",9,-0.150701778811439,"Channel 21, Station 08 + 62 BAF","Treated"
"43","2014-2015",9,-0.0942841569786202,"Channel 21, Station 08 + 62 BAF","Treated"
"44","2015-2018",9,-0.0422811173120678,"Channel 21, Station 08 + 62 BAF","Treated"
"45","2018-2021",9,0.135156342822257,"Channel 21, Station 08 + 62 BAF","Treated"
"46","2012-2013",10,-0.0794120914745521,"Channel 21, Station 09 + 99 ORD","Treated"
"47","2013-2014",10,-0.468074056589489,"Channel 21, Station 09 + 99 ORD","Treated"
"48","2014-2015",10,0.11877091183662,"Channel 21, Station 09 + 99 ORD","Treated"
"49","2015-2018",10,-0.0443030238708419,"Channel 21, Station 09 + 99 ORD","Treated"
"50","2018-2021",10,-0.00963480259944416,"Channel 21, Station 09 + 99 ORD","Treated"
"51","2012-2013",11,-0.115879115123989,"Channel 21, Station 10 + 13 BAF","Treated"
"52","2013-2014",11,-1.17345508749,"Channel 21, Station 10 + 13 BAF","Treated"
"53","2014-2015",11,0.0765671691429083,"Channel 21, Station 10 + 13 BAF","Treated"
"54","2015-2018",11,-0.203409586809042,"Channel 21, Station 10 + 13 BAF","Treated"
"55","2018-2021",11,0.0970735442971899,"Channel 21, Station 10 + 13 BAF","Treated"
"56","2012-2013",12,-0.253196400815806,"Channel 21, Station 11 + 12 ORD","Treated"
"57","2013-2014",12,0.198368264453066,"Channel 21, Station 11 + 12 ORD","Treated"
"58","2014-2015",12,0.130033760749957,"Channel 21, Station 11 + 12 ORD","Treated"
"59","2015-2018",12,-0.0697929823937354,"Channel 21, Station 11 + 12 ORD","Treated"
"60","2018-2021",12,0.0340335510338488,"Channel 21, Station 11 + 12 ORD","Treated"
"61","2012-2013",13,0.172672030534803,"Channel 21, Station 11 + 24 BAF","Treated"
"62","2013-2014",13,0.420938220404996,"Channel 21, Station 11 + 24 BAF","Treated"
