"Channel","Station","Year","station.trt","channel.trt","Functional","Cover"
"Channel 12","Station 1 + 04","2012-11-01","No treatment","Channel 12: No treatment","Annual grass",0.416666666666667
"Channel 12","Station 1 + 04","2012-11-01","No treatment","Channel 12: No treatment","Perennial forb",1.91666666666667
"Channel 12","Station 1 + 04","2012-11-01","No treatment","Channel 12: No treatment","Perennial grass",13.4166666666667
"Channel 12","Station 1 + 04","2012-11-01","No treatment","Channel 12: No treatment","Shrub",1.91666666666667
"Channel 12","Station 1 + 04","2012-11-01","No treatment","Channel 12: No treatment","Tree",0.833333333333333
"Channel 12","Station 1 + 04","2013-11-01","No treatment","Channel 12: No treatment","Annual grass",1.66666666666667
"Channel 12","Station 1 + 04","2013-11-01","No treatment","Channel 12: No treatment","Perennial forb",2.5
"Channel 12","Station 1 + 04","2013-11-01","No treatment","Channel 12: No treatment","Perennial grass",16.4166666666667
"Channel 12","Station 1 + 04","2013-11-01","No treatment","Channel 12: No treatment","Shrub",13.4166666666667
"Channel 12","Station 1 + 04","2013-11-01","No treatment","Channel 12: No treatment","Tree",13.75
"Channel 12","Station 1 + 04","2014-11-01","No treatment","Channel 12: No treatment","Annual grass",0.875
"Channel 12","Station 1 + 04","2014-11-01","No treatment","Channel 12: No treatment","Perennial forb",0.375
"Channel 12","Station 1 + 04","2014-11-01","No treatment","Channel 12: No treatment","Perennial grass",12.125
"Channel 12","Station 1 + 04","2014-11-01","No treatment","Channel 12: No treatment","Shrub",11.25
"Channel 12","Station 1 + 04","2014-11-01","No treatment","Channel 12: No treatment","Tree",0.125
"Channel 12","Station 1 + 04","2015-11-01","No treatment","Channel 12: No treatment","Perennial forb",0.875
"Channel 12","Station 1 + 04","2015-11-01","No treatment","Channel 12: No treatment","Perennial grass",24.625
"Channel 12","Station 1 + 04","2015-11-01","No treatment","Channel 12: No treatment","Shrub",0.125
"Channel 12","Station 1 + 04","2018-11-01","No treatment","Channel 12: No treatment","Annual grass",0.125
"Channel 12","Station 1 + 04","2018-11-01","No treatment","Channel 12: No treatment","Perennial forb",1
"Channel 12","Station 1 + 04","2018-11-01","No treatment","Channel 12: No treatment","Perennial grass",15.75
"Channel 12","Station 1 + 04","2018-11-01","No treatment","Channel 12: No treatment","Shrub",5
"Channel 12","Station 1 + 04","2018-11-01","No treatment","Channel 12: No treatment","Tree",0.75
"Channel 12","Station 1 + 04","2021-11-01","No treatment","Channel 12: No treatment","Annual grass",1
"Channel 12","Station 1 + 04","2021-11-01","No treatment","Channel 12: No treatment","Perennial forb",0.25
"Channel 12","Station 1 + 04","2021-11-01","No treatment","Channel 12: No treatment","Perennial grass",21
"Channel 12","Station 1 + 04","2021-11-01","No treatment","Channel 12: No treatment","Shrub",12.5
"Channel 12","Station 1 + 52","2012-11-01","No treatment","Channel 12: No treatment","Annual grass",1
"Channel 12","Station 1 + 52","2012-11-01","No treatment","Channel 12: No treatment","Perennial forb",3.5
"Channel 12","Station 1 + 52","2012-11-01","No treatment","Channel 12: No treatment","Perennial grass",22.25
"Channel 12","Station 1 + 52","2012-11-01","No treatment","Channel 12: No treatment","Shrub",8.41666666666667
"Channel 12","Station 1 + 52","2012-11-01","No treatment","Channel 12: No treatment","Tree",14.1666666666667
"Channel 12","Station 1 + 52","2013-11-01","No treatment","Channel 12: No treatment","Annual grass",3.58333333333333
"Channel 12","Station 1 + 52","2013-11-01","No treatment","Channel 12: No treatment","Perennial forb",6.25
"Channel 12","Station 1 + 52","2013-11-01","No treatment","Channel 12: No treatment","Perennial grass",12.6666666666667
"Channel 12","Station 1 + 52","2013-11-01","No treatment","Channel 12: No treatment","Shrub",17.9166666666667
"Channel 12","Station 1 + 52","2013-11-01","No treatment","Channel 12: No treatment","Tree",12.9166666666667
"Channel 12","Station 1 + 52","2014-11-01","No treatment","Channel 12: No treatment","Annual grass",0.125
"Channel 12","Station 1 + 52","2014-11-01","No treatment","Channel 12: No treatment","Perennial forb",0.125
"Channel 12","Station 1 + 52","2014-11-01","No treatment","Channel 12: No treatment","Perennial grass",13.25
"Channel 12","Station 1 + 52","2014-11-01","No treatment","Channel 12: No treatment","Shrub",11.875
"Channel 12","Station 1 + 52","2015-11-01","No treatment","Channel 12: No treatment","Perennial forb",0.75
"Channel 12","Station 1 + 52","2015-11-01","No treatment","Channel 12: No treatment","Perennial grass",9.625
"Channel 12","Station 1 + 52","2015-11-01","No treatment","Channel 12: No treatment","Shrub",3.75
"Channel 12","Station 1 + 52","2015-11-01","No treatment","Channel 12: No treatment","Tree",0.75
"Channel 12","Station 1 + 52","2018-11-01","No treatment","Channel 12: No treatment","Annual grass",0.125
"Channel 12","Station 1 + 52","2018-11-01","No treatment","Channel 12: No treatment","Perennial forb",0.625
"Channel 12","Station 1 + 52","2018-11-01","No treatment","Channel 12: No treatment","Perennial grass",37.5
"Channel 12","Station 1 + 52","2018-11-01","No treatment","Channel 12: No treatment","Shrub",5
"Channel 12","Station 1 + 52","2018-11-01","No treatment","Channel 12: No treatment","Tree",3.875
"Channel 12","Station 1 + 52","2021-11-01","No treatment","Channel 12: No treatment","Annual grass",0.125
"Channel 12","Station 1 + 52","2021-11-01","No treatment","Channel 12: No treatment","Perennial forb",1
"Channel 12","Station 1 + 52","2021-11-01","No treatment","Channel 12: No treatment","Perennial grass",25.75
"Channel 12","Station 1 + 52","2021-11-01","No treatment","Channel 12: No treatment","Shrub",10.75
"Channel 12","Station 1 + 83","2012-11-01","No treatment","Channel 12: No treatment","Annual grass",0.5
"Channel 12","Station 1 + 83","2012-11-01","No treatment","Channel 12: No treatment","Perennial forb",5.58333333333333
"Channel 12","Station 1 + 83","2012-11-01","No treatment","Channel 12: No treatment","Perennial grass",6.75
"Channel 12","Station 1 + 83","2012-11-01","No treatment","Channel 12: No treatment","Shrub",0.5
"Channel 12","Station 1 + 83","2012-11-01","No treatment","Channel 12: No treatment","Tree",45.9166666666667
"Channel 12","Station 1 + 83","2013-11-01","No treatment","Channel 12: No treatment","Annual grass",2.91666666666667
"Channel 12","Station 1 + 83","2013-11-01","No treatment","Channel 12: No treatment","Perennial forb",6
"Channel 12","Station 1 + 83","2013-11-01","No treatment","Channel 12: No treatment","Perennial grass",12.5833333333333
"Channel 12","Station 1 + 83","2013-11-01","No treatment","Channel 12: No treatment","Shrub",3
"Channel 12","Station 1 + 83","2013-11-01","No treatment","Channel 12: No treatment","Tree",56.25
"Channel 12","Station 1 + 83","2014-11-01","No treatment","Channel 12: No treatment","Annual grass",1.25
"Channel 12","Station 1 + 83","2014-11-01","No treatment","Channel 12: No treatment","Perennial forb",3.875
"Channel 12","Station 1 + 83","2014-11-01","No treatment","Channel 12: No treatment","Perennial grass",12.75
"Channel 12","Station 1 + 83","2014-11-01","No treatment","Channel 12: No treatment","Shrub",4.5
"Channel 12","Station 1 + 83","2014-11-01","No treatment","Channel 12: No treatment","Tree",31.875
"Channel 12","Station 1 + 83","2015-11-01","No treatment","Channel 12: No treatment","Perennial grass",23.875
"Channel 12","Station 1 + 83","2015-11-01","No treatment","Channel 12: No treatment","Shrub",1.875
"Channel 12","Station 1 + 83","2015-11-01","No treatment","Channel 12: No treatment","Tree",50
"Channel 12","Station 1 + 83","2018-11-01","No treatment","Channel 12: No treatment","Perennial forb",1.625
"Channel 12","Station 1 + 83","2018-11-01","No treatment","Channel 12: No treatment","Perennial grass",27.5
"Channel 12","Station 1 + 83","2018-11-01","No treatment","Channel 12: No treatment","Shrub",0.25
"Channel 12","Station 1 + 83","2018-11-01","No treatment","Channel 12: No treatment","Tree",48.875
"Channel 12","Station 1 + 83","2021-11-01","No treatment","Channel 12: No treatment","Perennial forb",1.375
"Channel 12","Station 1 + 83","2021-11-01","No treatment","Channel 12: No treatment","Perennial grass",9
"Channel 12","Station 1 + 83","2021-11-01","No treatment","Channel 12: No treatment","Shrub",0.75
"Channel 12","Station 1 + 83","2021-11-01","No treatment","Channel 12: No treatment","Tree",52.5
"Channel 12","Station 2 + 63","2012-11-01","No treatment","Channel 12: No treatment","Annual grass",0.25
"Channel 12","Station 2 + 63","2012-11-01","No treatment","Channel 12: No treatment","Perennial forb",1.75
"Channel 12","Station 2 + 63","2012-11-01","No treatment","Channel 12: No treatment","Perennial grass",4.66666666666667
"Channel 12","Station 2 + 63","2012-11-01","No treatment","Channel 12: No treatment","Shrub",21.9166666666667
"Channel 12","Station 2 + 63","2012-11-01","No treatment","Channel 12: No treatment","Tree",0.0833333333333333
"Channel 12","Station 2 + 63","2013-11-01","No treatment","Channel 12: No treatment","Annual grass",4.58333333333333
"Channel 12","Station 2 + 63","2013-11-01","No treatment","Channel 12: No treatment","Perennial forb",8.41666666666667
"Channel 12","Station 2 + 63","2013-11-01","No treatment","Channel 12: No treatment","Perennial grass",15.9166666666667
"Channel 12","Station 2 + 63","2013-11-01","No treatment","Channel 12: No treatment","Shrub",6
"Channel 12","Station 2 + 63","2013-11-01","No treatment","Channel 12: No treatment","Tree",39.5833333333333
"Channel 12","Station 2 + 63","2014-11-01","No treatment","Channel 12: No treatment","Annual grass",8.25
"Channel 12","Station 2 + 63","2014-11-01","No treatment","Channel 12: No treatment","Perennial forb",0.875
"Channel 12","Station 2 + 63","2014-11-01","No treatment","Channel 12: No treatment","Perennial grass",6.375
"Channel 12","Station 2 + 63","2014-11-01","No treatment","Channel 12: No treatment","Shrub",0.625
"Channel 12","Station 2 + 63","2014-11-01","No treatment","Channel 12: No treatment","Tree",8.125
"Channel 12","Station 2 + 63","2015-11-01","No treatment","Channel 12: No treatment","Perennial forb",5.25
"Channel 12","Station 2 + 63","2015-11-01","No treatment","Channel 12: No treatment","Perennial grass",19.5
"Channel 12","Station 2 + 63","2015-11-01","No treatment","Channel 12: No treatment","Shrub",0.875
"Channel 12","Station 2 + 63","2015-11-01","No treatment","Channel 12: No treatment","Tree",50
"Channel 12","Station 2 + 63","2018-11-01","No treatment","Channel 12: No treatment","Perennial forb",2.75
"Channel 12","Station 2 + 63","2018-11-01","No treatment","Channel 12: No treatment","Perennial grass",16.25
"Channel 12","Station 2 + 63","2018-11-01","No treatment","Channel 12: No treatment","Shrub",8.75
"Channel 12","Station 2 + 63","2018-11-01","No treatment","Channel 12: No treatment","Tree",0.375
"Channel 12","Station 2 + 63","2021-11-01","No treatment","Channel 12: No treatment","Annual grass",0.25
"Channel 12","Station 2 + 63","2021-11-01","No treatment","Channel 12: No treatment","Perennial forb",0.125
"Channel 12","Station 2 + 63","2021-11-01","No treatment","Channel 12: No treatment","Perennial grass",5.875
"Channel 12","Station 2 + 63","2021-11-01","No treatment","Channel 12: No treatment","Shrub",28.875
"Channel 12","Station 2 + 98","2012-11-01","No treatment","Channel 12: No treatment","Perennial forb",0.5
"Channel 12","Station 2 + 98","2012-11-01","No treatment","Channel 12: No treatment","Perennial grass",9.41666666666667
"Channel 12","Station 2 + 98","2012-11-01","No treatment","Channel 12: No treatment","Shrub",1.25
"Channel 12","Station 2 + 98","2012-11-01","No treatment","Channel 12: No treatment","Tree",17.5
"Channel 12","Station 2 + 98","2013-11-01","No treatment","Channel 12: No treatment","Annual grass",0.333333333333333
"Channel 12","Station 2 + 98","2013-11-01","No treatment","Channel 12: No treatment","Perennial forb",3.75
"Channel 12","Station 2 + 98","2013-11-01","No treatment","Channel 12: No treatment","Perennial grass",24
"Channel 12","Station 2 + 98","2013-11-01","No treatment","Channel 12: No treatment","Shrub",3.58333333333333
"Channel 12","Station 2 + 98","2013-11-01","No treatment","Channel 12: No treatment","Tree",63.75
"Channel 12","Station 2 + 98","2014-11-01","No treatment","Channel 12: No treatment","Annual grass",0.125
"Channel 12","Station 2 + 98","2014-11-01","No treatment","Channel 12: No treatment","Perennial forb",0.125
"Channel 12","Station 2 + 98","2014-11-01","No treatment","Channel 12: No treatment","Perennial grass",10.375
"Channel 12","Station 2 + 98","2014-11-01","No treatment","Channel 12: No treatment","Shrub",20.125
"Channel 12","Station 2 + 98","2014-11-01","No treatment","Channel 12: No treatment","Tree",18.875
"Channel 12","Station 2 + 98","2015-11-01","No treatment","Channel 12: No treatment","Annual forb",0.125
"Channel 12","Station 2 + 98","2015-11-01","No treatment","Channel 12: No treatment","Perennial forb",1
"Channel 12","Station 2 + 98","2015-11-01","No treatment","Channel 12: No treatment","Perennial grass",16.25
"Channel 12","Station 2 + 98","2015-11-01","No treatment","Channel 12: No treatment","Shrub",8.25
"Channel 12","Station 2 + 98","2015-11-01","No treatment","Channel 12: No treatment","Tree",58.75
"Channel 12","Station 2 + 98","2018-11-01","No treatment","Channel 12: No treatment","Annual forb",0.125
"Channel 12","Station 2 + 98","2018-11-01","No treatment","Channel 12: No treatment","Perennial forb",1.125
"Channel 12","Station 2 + 98","2018-11-01","No treatment","Channel 12: No treatment","Perennial grass",18
"Channel 12","Station 2 + 98","2018-11-01","No treatment","Channel 12: No treatment","Shrub",2
"Channel 12","Station 2 + 98","2018-11-01","No treatment","Channel 12: No treatment","Tree",58.75
"Channel 12","Station 2 + 98","2021-11-01","No treatment","Channel 12: No treatment","Perennial forb",1.125
"Channel 12","Station 2 + 98","2021-11-01","No treatment","Channel 12: No treatment","Perennial grass",27.125
"Channel 12","Station 2 + 98","2021-11-01","No treatment","Channel 12: No treatment","Shrub",4.5
"Channel 12","Station 2 + 98","2021-11-01","No treatment","Channel 12: No treatment","Tree",34.375
"Channel 12","Station 3 + 93","2012-11-01","No treatment","Channel 12: No treatment","Annual forb",0.0833333333333333
"Channel 12","Station 3 + 93","2012-11-01","No treatment","Channel 12: No treatment","Annual grass",4.16666666666667
