"PlotTimeID","Year","Channel","Station","station.trt","channel.trt","up.trt","inch.trt","inwood","Cover"
1,"2012-11-01","Channel 12","Station 1 + 04","No treatment","Channel 12: No treatment",0,0,"Invasive herb",0.0833333333333333
1,"2012-11-01","Channel 12","Station 1 + 04","No treatment","Channel 12: No treatment",0,0,"Native herb",15.25
1,"2012-11-01","Channel 12","Station 1 + 04","No treatment","Channel 12: No treatment",0,0,"Native woody",2.75
1,"2012-11-01","Channel 12","Station 1 + 04","No treatment","Channel 12: No treatment",0,0,"Unknown herb",0.416666666666667
2,"2012-11-01","Channel 12","Station 1 + 52","No treatment","Channel 12: No treatment",0,0,"Invasive herb",5.91666666666667
2,"2012-11-01","Channel 12","Station 1 + 52","No treatment","Channel 12: No treatment",0,0,"Native herb",19.8333333333333
2,"2012-11-01","Channel 12","Station 1 + 52","No treatment","Channel 12: No treatment",0,0,"Native woody",22.5833333333333
2,"2012-11-01","Channel 12","Station 1 + 52","No treatment","Channel 12: No treatment",0,0,"Unknown herb",1
3,"2012-11-01","Channel 12","Station 1 + 83","No treatment","Channel 12: No treatment",0,0,"Invasive herb",5
3,"2012-11-01","Channel 12","Station 1 + 83","No treatment","Channel 12: No treatment",0,0,"Native herb",7.33333333333333
3,"2012-11-01","Channel 12","Station 1 + 83","No treatment","Channel 12: No treatment",0,0,"Native woody",46.4166666666667
3,"2012-11-01","Channel 12","Station 1 + 83","No treatment","Channel 12: No treatment",0,0,"Unknown herb",0.5
4,"2012-11-01","Channel 12","Station 2 + 63","No treatment","Channel 12: No treatment",0,0,"Invasive herb",3.91666666666667
4,"2012-11-01","Channel 12","Station 2 + 63","No treatment","Channel 12: No treatment",0,0,"Native herb",2.5
4,"2012-11-01","Channel 12","Station 2 + 63","No treatment","Channel 12: No treatment",0,0,"Native woody",22
4,"2012-11-01","Channel 12","Station 2 + 63","No treatment","Channel 12: No treatment",0,0,"Unknown herb",0.25
5,"2012-11-01","Channel 12","Station 2 + 98","No treatment","Channel 12: No treatment",0,0,"Invasive herb",0.583333333333333
5,"2012-11-01","Channel 12","Station 2 + 98","No treatment","Channel 12: No treatment",0,0,"Native herb",9.33333333333333
5,"2012-11-01","Channel 12","Station 2 + 98","No treatment","Channel 12: No treatment",0,0,"Native woody",18.75
6,"2012-11-01","Channel 12","Station 3 + 93","No treatment","Channel 12: No treatment",0,0,"Invasive herb",0.583333333333333
6,"2012-11-01","Channel 12","Station 3 + 93","No treatment","Channel 12: No treatment",0,0,"Native herb",19.9166666666667
6,"2012-11-01","Channel 12","Station 3 + 93","No treatment","Channel 12: No treatment",0,0,"Native woody",72.9166666666667
6,"2012-11-01","Channel 12","Station 3 + 93","No treatment","Channel 12: No treatment",0,0,"Unknown herb",0.333333333333333
7,"2012-11-01","Channel 12","Station 4 + 00","No treatment","Channel 12: No treatment",0,0,"Invasive herb",3.5
7,"2012-11-01","Channel 12","Station 4 + 00","No treatment","Channel 12: No treatment",0,0,"Native herb",10.2083333333333
7,"2012-11-01","Channel 12","Station 4 + 00","No treatment","Channel 12: No treatment",0,0,"Native woody",28
7,"2012-11-01","Channel 12","Station 4 + 00","No treatment","Channel 12: No treatment",0,0,"Unknown herb",0.0833333333333333
8,"2012-11-01","Channel 12","Station 4 + 09","No treatment","Channel 12: No treatment",0,0,"Invasive herb",1.75
8,"2012-11-01","Channel 12","Station 4 + 09","No treatment","Channel 12: No treatment",0,0,"Native herb",6.66666666666667
8,"2012-11-01","Channel 12","Station 4 + 09","No treatment","Channel 12: No treatment",0,0,"Native woody",47.0833333333333
8,"2012-11-01","Channel 12","Station 4 + 09","No treatment","Channel 12: No treatment",0,0,"Unknown herb",0.416666666666667
9,"2012-11-01","Channel 12","Station 4 + 56","No treatment","Channel 12: No treatment",0,0,"Invasive herb",3.33333333333333
9,"2012-11-01","Channel 12","Station 4 + 56","No treatment","Channel 12: No treatment",0,0,"Native herb",10.1666666666667
9,"2012-11-01","Channel 12","Station 4 + 56","No treatment","Channel 12: No treatment",0,0,"Native woody",25.5
10,"2012-11-01","Channel 12","Station 4 + 65","No treatment","Channel 12: No treatment",0,0,"Invasive herb",0.5
10,"2012-11-01","Channel 12","Station 4 + 65","No treatment","Channel 12: No treatment",0,0,"Native herb",15
10,"2012-11-01","Channel 12","Station 4 + 65","No treatment","Channel 12: No treatment",0,0,"Native woody",58.8333333333333
11,"2012-11-01","Channel 12","Station 5 + 13","No treatment","Channel 12: No treatment",0,0,"Invasive herb",5.41666666666667
11,"2012-11-01","Channel 12","Station 5 + 13","No treatment","Channel 12: No treatment",0,0,"Native herb",6.33333333333333
11,"2012-11-01","Channel 12","Station 5 + 13","No treatment","Channel 12: No treatment",0,0,"Native woody",17.5
11,"2012-11-01","Channel 12","Station 5 + 13","No treatment","Channel 12: No treatment",0,0,"Unknown herb",0.0833333333333333
12,"2012-11-01","Channel 12","Station 5 + 48","No treatment","Channel 12: No treatment",0,0,"Invasive herb",0.833333333333333
12,"2012-11-01","Channel 12","Station 5 + 48","No treatment","Channel 12: No treatment",0,0,"Native herb",5.83333333333333
