"Treatment3","Year","year.xaxis","mean","SD","SE"
"Control","2012",2012-01-01,9.86666666666667,2.04658392134953,0.373653393183506
"Control","2013",2013-01-01,9.13333333333333,2.80065673743134,0.511327623639989
"Control","2014",2014-01-01,8.2,2.4268611769967,0.443082203524876
"Control","2015",2015-01-01,8.61290322580645,2.45869097088727,0.441593934416712
"Control","2018",2018-01-01,8.64516129032258,2.47047076616009,0.443709648104501
"Control","2021",2021-01-01,7.58064516129032,2.21771945247646,0.398314172072688
"Treated","2012",2012-01-01,7.32258064516129,2.3858904246171,0.428518570316145
"Treated","2013",2013-01-01,6.82758620689655,2.37650652244666,0.441306182365702
"Treated","2014",2014-01-01,7.74193548387097,2.51618417364447,0.451920018462407
"Treated","2015",2015-01-01,7.2258064516129,2.6796725847182,0.481283403911181
"Treated","2018",2018-01-01,8.61290322580645,3.09491431604429,0.555863020480125
"Treated","2021",2021-01-01,6.67741935483871,2.46829356403965,0.443318611060086
