"Treatment3","Year","year.xaxis","mean","SD","SE"
"Control","2012",2012-01-01,59.2569444444444,26.1439888261165,4.773217474409
"Control","2013",2013-01-01,61.1652777777778,23.5947701933232,4.30779595801122
"Control","2014",2014-01-01,51.6833333333333,23.6753075329891,4.32249999723003
"Control","2015",2015-01-01,39.3528225806452,26.4487345533923,4.75033295768802
"Control","2018",2018-01-01,46.0927419354839,22.2726352032679,4.00028337261511
"Control","2021",2021-01-01,62.8790322580645,28.0936164507572,5.04576246766263
"Treated","2012",2012-01-01,42.6706989247312,23.1702793816745,4.1615050263904
"Treated","2013",2013-01-01,36.5215517241379,20.8664398280451,3.87480060041994
"Treated","2014",2014-01-01,44.5302419354839,25.9174866109965,4.65491801054292
"Treated","2015",2015-01-01,37.4334677419355,21.9687925881751,3.94571162796277
"Treated","2018",2018-01-01,52.4616935483871,29.6218206689701,5.32023604783334
"Treated","2021",2021-01-01,50.0645161290323,31.993665892768,5.74623202561432
