"Treatment2","Year","year.date","year.xaxis","mean","SD","SE"
"Control","2012",2012-11-01,2012-01-01,51.5982142857143,24.3652956089792,6.51189916401913
"Control","2013",2013-11-01,2013-01-01,68.849358974359,17.6912952221757,4.90668246560966
"Control","2014",2014-11-01,2014-01-01,41.2232142857143,20.7661069651731,5.54997553719841
"Control","2015",2015-11-01,2015-01-01,55.4107142857143,27.6745521718435,7.39633518281708
"Control","2018",2018-11-01,2018-01-01,49.71875,19.3031040436805,5.15897155947879
"Control","2021",2021-11-01,2021-01-01,53.6205357142857,22.7065633551727,6.06858432186661
"In-channel treatment","2012",2012-11-01,2012-01-01,42.6706989247312,23.1702793816745,4.1615050263904
"In-channel treatment","2013",2013-11-01,2013-01-01,36.5215517241379,20.8664398280451,3.87480060041994
"In-channel treatment","2014",2014-11-01,2014-01-01,44.5302419354839,25.9174866109965,4.65491801054292
"In-channel treatment","2015",2015-11-01,2015-01-01,38.68125,21.1976430939166,3.8701424294939
"In-channel treatment","2018",2018-11-01,2018-01-01,52.4616935483871,29.6218206689701,5.32023604783334
"In-channel treatment","2021",2021-11-01,2021-01-01,48.7290322580645,32.0409387195859,5.75472247595261
"Upland treatment","2012",2012-11-01,2012-01-01,65.9583333333333,26.5384417193039,6.63461042982596
"Upland treatment","2013",2013-11-01,2013-01-01,55.2892156862745,26.2611107049476,6.3692548989728
"Upland treatment","2014",2014-11-01,2014-01-01,60.8359375,22.7698045093899,5.69245112734748
"Upland treatment","2015",2015-11-01,2015-01-01,26.1286764705882,16.6709080464116,4.04328910295968
"Upland treatment","2018",2018-11-01,2018-01-01,43.1066176470588,24.6253446667056,5.97252336047456
"Upland treatment","2021",2021-11-01,2021-01-01,70.5036764705882,30.3999581634895,7.3730728542603
