asv	avca-elkld_01_c21	avca-elkld_02_c21	avca-elkld_03_c21	avca-elkld_04_c21	avca-elkld_05_c21	avca-elkld_06_c21	avca-elkld_07_c21	avca-elkld_08_c21	avca-elkld_09_c21	avca-elkld_10_c21	avca-elkld_11_c21	avca-elkld_12_c21	avca-elkld_13_c21	avca-elkld_14_c21	avca-elkld_15_c21	avca-elkld_16_c19	avca-elkld_17_c19	avca-elkld_18_c19	avca-elkld_19_c19	avca-elkld_20_c19	avca-elkld_21_c19	avca-elkld_22_c19	avca-elkld_23_c19	avca-elkld_24_c19	avca-elkld_25_c19	avca-elkld_26_c19	avca-elkld_27_c19	avca-elkld_28_c19	avca-elkld_29_c19	avca-elkld_30_c19	avca-elkld_31_c19	avca-elkld_32_c19	avca-elkld_33_c13	avca-elkld_34_c13	avca-elkld_35_c13	avca-elkld_36_c13	avca-elkld_37_c13	avca-elkld_38_c13	avca-elkld_39_c13	avca-elkld_40_c13	avca-elkld_41_c13	avca-elkld_42_c13	avca-elkld_43_c13	avca-elkld_44_c13	avca-elkld_45_c13	avca-elkld_46_c13	avca-elkld_47_c13	avca-elkld_48_c13	avca-elkld_49_c12	avca-elkld_50_c12	avca-elkld_51_c12	avca-elkld_52_c12	avca-elkld_53_c12	avca-elkld_54_c12	avca-elkld_55_c12	avca-elkld_56_c12	avca-elkld_57_c12	avca-elkld_58_c12	avca-elkld_59_c12	avca-elkld_60_c12	avca-elkld_61_c12	avca-elkld_62_c12	taxonomy
ASV_1	650	1442	6430	5188	3084	1413	2868	111	3297	2111	4356	872	166	1852	774	2583	9384	1069	2214	32	4332	484	427	4885	823	5684	5693	3873	3535	3396	316	233	2767	306	1714	3421	526	9255	1059	734	984	1489	273	531	7	214	460	854	2040	738	3713	5030	5446	6127	17935	2807	850	5827	2194	1646	8063	4774	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Mycosphaerellaceae;g__NA;s__NA
ASV_2	125	98	1641	3917	77	230	313	121	1867	121	63	3986	319	1501	757	0	498	1167	3185	60	969	60	80	225	97	0	948	1014	533	110	67	151	6608	2105	828	1633	336	332	1705	1094	552	187	81	4066	1617	2385	1439	3129	2891	12990	2150	16004	1632	9657	15554	1671	1351	1343	4567	3979	2660	1248	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Naganishia;s__diffluens
ASV_4	0	1963	1457	576	596	721	241	308	3658	287	131	761	916	5440	2168	703	522	2345	233	141	1302	496	286	213	499	0	7369	879	2693	1507	1832	534	3652	6374	1152	2183	417	2240	501	457	658	259	2259	3590	689	1811	1063	928	1510	728	1936	3548	981	1900	2514	1250	1441	1269	1254	1033	1534	14715	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Naganishia;s__globosa
ASV_6	323	1342	3538	1379	0	2586	1316	2638	2626	574	3609	0	690	10923	4148	327	1107	2675	1050	1063	0	799	0	589	730	0	4439	0	1832	2764	1257	341	3887	1232	4875	0	3225	2468	0	4540	0	399	1716	0	0	0	3311	0	0	2082	1677	0	1414	2332	0	4374	0	0	0	0	0	0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__equiseti
ASV_7	323	0	2258	1571	116	427	1158	147	1094	839	73	4521	149	309	4754	0	174	722	882	817	1036	172	0	0	610	0	93	484	1022	27	678	55	305	470	160	1175	364	1213	3294	1630	147	133	253	676	917	247	634	8595	3385	1731	953	661	20166	9698	2308	1779	206	72	891	747	1072	848	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Neoascochyta;s__triticicola
ASV_8	874	7834	547	2594	1586	2425	5716	813	3644	2470	68	1047	786	4072	5781	351	561	0	1950	1986	89	363	363	1109	1123	0	395	373	267	786	2077	5142	122	595	325	781	1482	332	1581	267	232	365	9036	555	751	3784	1986	1148	758	780	247	167	1124	188	320	2200	355	241	98	93	228	1538	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lophiostomataceae;g__Vaginatispora;s__NA
ASV_9	600	1186	1397	1424	2961	1125	379	391	4733	477	160	2651	283	1103	2114	151	194	5400	1222	145	1757	97	345	151	699	398	2983	1755	1921	247	987	106	878	12655	527	1125	1529	493	626	167	475	235	179	3663	844	1108	1176	257	1980	4102	993	743	5452	2219	1730	538	847	500	775	703	511	2906	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Saccotheciaceae;g__NA;s__NA
ASV_10	0	0	0	0	12535	35	0	0	0	10204	14332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8994	0	0	0	0	11444	0	0	0	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__NA;s__NA
ASV_11	3645	535	744	50	1746	346	1394	68	214	188	21	1041	361	8635	254	60	403	280	178	1442	704	247	21915	710	1383	0	306	1413	93	1279	1947	7879	4170	53	2846	126	53	428	69	114	41	133	315	1075	5387	785	170	339	789	39	264	108	156	94	48	2181	1381	328	1277	993	211	384	k__Fungi;p__Ascomycota;c__NA;o__NA;f__NA;g__NA;s__NA
ASV_12	333	582	1963	1005	7286	1313	5254	660	856	1271	80	1251	766	1628	3853	144	230	406	1044	16834	567	100	125	266	331	135	810	293	432	1001	2956	347	306	532	0	574	600	730	360	532	125	374	1886	2353	4721	1454	1107	3135	1656	415	335	130	1880	597	860	969	600	546	434	327	341	521	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Curvularia;s__NA
ASV_13	1000	381	858	538	409	554	379	975	1109	302	285	1355	58	347	282	725	308	2492	644	185	962	119	115	245	616	126	2114	199	417	638	1149	51	1476	8343	712	530	937	1580	898	655	603	316	580	3174	2066	793	4373	1602	1333	9011	1572	1124	530	2068	3398	914	607	867	1459	1171	2693	4340	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__basi-inflatum
