"Sample","Name","Channel","Station","Treatment1","Treatment2","Treatment3","Pathotroph","Pathotroph-Saprotroph","Pathotroph-Saprotroph-Symbiotroph","Pathotroph-Symbiotroph","Saprotroph","Saprotroph-Symbiotroph","Symbiotroph","Unknown"
1,"Channel 21, Station 01 + 07.5 BAF","Channel 21","Station 01 + 07.5 BAF","Baffle","In-channel treatment","Treated",2.80967613544231,12.3752524433569,4.60220823444433,0,30.1443165234312,0.175420493241152,3.33004112799799,46.5630850420862
2,"Channel 21, Station 01 + 49 ORD","Channel 21","Station 01 + 49 ORD","One rock dam","In-channel treatment","Treated",3.4303867564338,4.10364023199557,3.10396082888869,0,25.3388126256886,0.129696015854974,0.620792165777739,63.2727113753607
3,"Channel 21, Station 02 + 15 BAF","Channel 21","Station 02 + 15 BAF","Baffle","In-channel treatment","Treated",4.74621731144865,12.1133494650302,0.959155709746072,0,18.0198828022507,0.0276959855397802,0.664703652954724,63.4689950730299
4,"Channel 21, Station 03 + 80 BAF","Channel 21","Station 03 + 80 BAF","Baffle","In-channel treatment","Treated",4.61378748455938,9.02389024678704,0.84890535887934,0.0144550448106389,19.2843438723751,0.0157691397934243,1.57822807432521,64.6206207784699
5,"Channel 21, Station 04 + 90 ORD","Channel 21","Station 04 + 90 ORD","One rock dam","In-channel treatment","Treated",10.2401912835561,19.3228996848169,0.972720356482991,0.0228236061297685,14.8603412672536,0.0576024345179872,1.00423866970981,53.5191826975329
6,"Channel 21, Station 06 + 36 BAF","Channel 21","Station 06 + 36 BAF","Baffle","In-channel treatment","Treated",4.04946590404555,8.23996448066024,1.15437854214004,0,26.1328318838309,0.0443991746976939,1.23795345921805,59.1410065554076
7,"Channel 21, Station 07 + 49.5 ORD","Channel 21","Station 07 + 49.5 ORD","One rock dam","In-channel treatment","Treated",10.6495171228387,8.40920015731745,2.71081266114113,0,24.9901676596117,0.189363592664346,0.527304773419178,52.5236340330075
8,"Channel 21, Station 07 + 66 BAF","Channel 21","Station 07 + 66 BAF","Baffle","In-channel treatment","Treated",1.69183388280625,7.36972065068447,2.25216058176293,0,15.3540369300066,0.086830287489655,0.077333224795474,73.1680844424546
9,"Channel 21, Station 08 + 62 BAF","Channel 21","Station 08 + 62 BAF","Baffle","In-channel treatment","Treated",4.31775494420506,9.99668544912164,2.11136890951276,0,18.6233565351895,1.06839023312341,0,63.8824439288476
10,"Channel 21, Station 09 + 99 ORD","Channel 21","Station 09 + 99 ORD","One rock dam","In-channel treatment","Treated",3.63087862953186,4.1493831815978,0.643753703603943,0,34.2293810267737,0.0848461994289716,0.942735549210796,56.3190217098529
11,"Channel 21, Station 10 + 13 BAF","Channel 21","Station 10 + 13 BAF","Baffle","In-channel treatment","Treated",4.15050707007443,12.2515838412064,0.652807554260111,0.00722665189217835,6.56661768602606,0,0.0385421434249512,76.3327150531159
12,"Channel 21, Station 11 + 12 ORD","Channel 21","Station 11 + 12 ORD","One rock dam","In-channel treatment","Treated",3.96723148018485,16.9149978994539,3.72076739952388,0,15.9445455818513,0.0882229379638706,0.0798207533958829,59.2844139476264
13,"Channel 21, Station 11 + 24 BAF","Channel 21","Station 11 + 24 BAF","Baffle","In-channel treatment","Treated",1.84239352786686,2.88764830871969,0.654604004170461,0,43.7858811418617,0.190046323791424,0.853888690923968,49.7855380026659
14,"Channel 21, Station 11 + 63 ORD","Channel 21","Station 11 + 63 ORD","One rock dam","In-channel treatment","Treated",5.22835996028522,5.48560339380811,0.753678129795108,0,22.0981135481542,0.0282065168336492,0.241447784096038,66.1645906670277
15,"Channel 21, Station 11 + 73 BAF","Channel 21","Station 11 + 73 BAF","Baffle","In-channel treatment","Treated",9.86776461413187,7.73227208606195,1.0230179028133,0.0103219295126902,26.2062321516635,0.313098528551604,0.755794616540319,54.0914981707247
16,"Channel 19, Station 01 + 04","Channel 19","Station 01 + 04","Upland treatment","Upland treatment","Control",2.53448829002246,5.91113249919795,4.28162763340819,0,18.5648593733291,0.840819163725805,0,67.8670730403165
17,"Channel 19, Station 02 + 04","Channel 19","Station 02 + 04","Upland treatment","Upland treatment","Control",2.83487329866106,9.7778576961381,0.414269115857032,0.00345800597543433,4.58393272103574,0.0179816310722585,0.446082770831028,81.9215447604293
18,"Channel 19, Station 02 + 52","Channel 19","Station 02 + 52","Upland treatment","Upland treatment","Control",6.43613243013808,11.2333466156165,2.68706363368618,0,16.8534848668595,0.0225221323261898,0.126470435370143,62.6409798860034
19,"Channel 19, Station 03 + 63","Channel 19","Station 03 + 63","Upland treatment","Upland treatment","Control",2.39918796714958,18.3129226591439,1.14159163711623,0,25.5038953848587,0.0303194083760661,1.22200398107014,51.3900789622853
20,"Channel 19, Station 03 + 98","Channel 19","Station 03 + 98","Upland treatment","Upland treatment","Control",22.2332782959553,2.87142029239063,0.74355133237838,0,16.863306835205,0.012028036259062,0.546728920866456,56.7296862869452
21,"Channel 19, Station 05 + 00","Channel 19","Station 05 + 00","Upland treatment","Upland treatment","Control",4.86638933934993,10.1374885426214,3.53521821899457,0,25.857716985123,0.070506944934076,0.219981668194317,55.3126983007826
22,"Channel 19, Station 05 + 09","Channel 19","Station 05 + 09","Upland treatment","Upland treatment","Control",5.92409750077137,3.48850663375501,4.22709040419624,0,15.0570811477939,0,0,71.3032243134835
23,"Channel 19, Station 05 + 62","Channel 19","Station 05 + 62","Upland treatment","Upland treatment","Control",2.6824482969348,3.01051751310669,1.23830047280564,0.279823743205429,11.1270142484963,0,1.46183783088354,80.2000578945675
24,"Channel 19, Station 06 + 13","Channel 19","Station 06 + 13","Upland treatment","Upland treatment","Control",4.11278293484715,9.03219266360622,1.71752132420025,0,13.8487828189941,0.399692989442892,2.99624925781646,67.8927780110929
25,"Channel 19, Station 06 + 97","Channel 19","Station 06 + 97","Upland treatment","Upland treatment","Control",5.89999102253344,4.43127749349134,5.9197414489631,0,19.2512792889846,0,0.15261693150193,64.3450938145255
26,"Channel 19, Station 07 + 30","Channel 19","Station 07 + 30","Upland treatment","Upland treatment","Control",2.49917790200592,52.4404566167144,0.441584065392023,0,4.68830741767276,0,0,39.9304739982149
27,"Channel 19, Station 07 + 50","Channel 19","Station 07 + 50","Upland treatment","Upland treatment","Control",2.81992084432718,10.0305079155673,4.50816292875989,0,25.4699868073879,0.0546256596306069,0.193766490765171,56.923029353562
28,"Channel 19, Station 07 + 97","Channel 19","Station 07 + 97","Upland treatment","Upland treatment","Control",3.75093773443361,30.9367114505899,0.987178612835027,0,21.8458023596808,0.0409193207392757,1.09970674486804,41.3387437768533
29,"Channel 19, Station 09 + 05","Channel 19","Station 09 + 05","Upland treatment","Upland treatment","Control",3.3969853248641,14.7269070707473,1.04139702514884,0,16.9570498397085,0.0278767846120149,1.11706258338145,62.7327213715378
30,"Channel 19, Station 09 + 26","Channel 19","Station 09 + 26","Upland treatment","Upland treatment","Control",3.51958352336563,8.5075141550886,1.48503287095231,0,32.037776566515,1.28702848815867,2.3771649776967,50.7858994182231
31,"Channel 19, Station 09 + 68","Channel 19","Station 09 + 68","Upland treatment","Upland treatment","Control",4.82722172534352,5.55898853565331,1.60907390844784,0.00487844540206521,22.2595332953899,0.0983819822749817,4.5857386779413,61.0561834295471
32,"Channel 19, Station 10 + 98","Channel 19","Station 10 + 98","Upland treatment","Upland treatment","Control",0.95382437288997,1.3867208770465,1.59908519984027,0,33.6606527026536,0.0853087450539079,2.02744400479181,60.2869640977239
33,"Channel 13, Station 1 + 11.5 BAF","Channel 13","Station 1 + 11.5 BAF","Baffle","In-channel treatment","Treated",3.08640025272469,8.18617385352498,2.82419838888011,0.0157952930026852,18.1477386405518,0.0863476017480124,0.579160743431791,67.0741852261359
34,"Channel 13, Station 1 + 38.5 ORD","Channel 13","Station 1 + 38.5 ORD","One rock dam","In-channel treatment","Treated",3.88331952893687,5.59601671760013,4.24794600100915,0,15.6056321937566,0.210398042631784,0.0152324374756043,70.4414550785899
35,"Channel 13, Station 1 + 71 BAF","Channel 13","Station 1 + 71 BAF","Baffle","In-channel treatment","Treated",4.63,6.39333333333333,4.585,0,16.8833333333333,0.468333333333333,0.075,66.965
36,"Channel 13, Station 1 + 77 ORD","Channel 13","Station 1 + 77 ORD","One rock dam","In-channel treatment","Treated",3.77686754250175,13.7430305355015,3.3741112648465,0,16.9280929353261,0.116443141498966,0.0287683055468033,62.0326862747784
37,"Channel 13, Station 1 + 99 ORD","Channel 13","Station 1 + 99 ORD","One rock dam","In-channel treatment","Treated",4.2705514050164,4.3952754530601,1.69250533195305,0,17.5237287501403,0.0985319979545256,0.173366426780748,71.8460406350949
38,"Channel 13, Station 2 + 16 BAF","Channel 13","Station 2 + 16 BAF","Baffle","In-channel treatment","Treated",4.16455053326562,15.0625605983656,3.22083198670299,0.00369361466365022,17.5335888083476,0.728565492405005,0.407221016667436,58.8789879495822
39,"Channel 13, Station 2 + 57 ORD","Channel 13","Station 2 + 57 ORD","One rock dam","In-channel treatment","Treated",4.2465294577394,10.7360402942672,2.1238850223926,0,23.1133772501148,0.0967657895716253,0.156313967769549,59.5270882181448
40,"Channel 13, Station 2 + 67 BAF","Channel 13","Station 2 + 67 BAF","Baffle","In-channel treatment","Treated",3.94893324354143,5.64829275981144,3.59645226461865,0,30.4480520410941,0,0.341018182860254,56.0172515080741
41,"Channel 13, Station 3 + 09 ORD","Channel 13","Station 3 + 09 ORD","One rock dam","In-channel treatment","Treated",37.9384703852789,8.86764423998467,2.24746022618363,0,19.6544949204524,0.256373394671267,0.153344834195898,30.8822119992333
42,"Channel 13, Station 3 + 31 BAF","Channel 13","Station 3 + 31 BAF","Baffle","In-channel treatment","Treated",2.75026272835007,7.21105471457639,1.23426424882052,0,24.2895154618429,0.277262258793015,0.0469557051181719,64.1906848824989
43,"Channel 13, Station 3 + 65 ORD","Channel 13","Station 3 + 65 ORD","One rock dam","In-channel treatment","Treated",9.75803358811305,3.43372902972628,1.4537606021958,0,35.4334079537651,0.34248102530257,1.92288825664672,47.6556995442505
