	Algal Parasite-Bryophyte Parasite-Fungal Parasite-Undefined Saprotroph	Animal Endosymbiont-Animal Pathogen-Endophyte-Plant Pathogen-Undefined Saprotroph	Animal Endosymbiont-Animal Pathogen-Undefined Saprotroph	Animal Parasite-Fungal Parasite	Animal Pathogen	Animal Pathogen-Endophyte-Endosymbiont-Epiphyte-Soil Saprotroph-Undefined Saprotroph	Animal Pathogen-Endophyte-Epiphyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph	Animal Pathogen-Fungal Parasite-Undefined Saprotroph	Animal Pathogen-Plant Pathogen-Undefined Saprotroph	Animal Pathogen-Undefined Saprotroph	Arbuscular Mycorrhizal	Dung Saprotroph	Dung Saprotroph-Endophyte-Plant Pathogen-Undefined Saprotroph	Dung Saprotroph-Endophyte-Undefined Saprotroph	Dung Saprotroph-Ericoid Mycorrhizal-Lichenized	Dung Saprotroph-Nematophagous	Dung Saprotroph-Plant Parasite-Soil Saprotroph-Undefined Saprotroph-Wood Saprotroph	Dung Saprotroph-Plant Pathogen	Dung Saprotroph-Plant Saprotroph	Dung Saprotroph-Plant Saprotroph-Wood Saprotroph	Dung Saprotroph-Soil Saprotroph	Dung Saprotroph-Soil Saprotroph-Undefined Saprotroph	Dung Saprotroph-Undefined Saprotroph	Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph	Dung Saprotroph-Wood Saprotroph	Ectomycorrhizal	Ectomycorrhizal-Fungal Parasite	Ectomycorrhizal-Undefined Saprotroph	Ectomycorrhizal-Wood Saprotroph	Endophyte	Endophyte-Fungal Parasite-Lichen Parasite-Plant Pathogen-Wood Saprotroph	Endophyte-Insect Pathogen	Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph	Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph	Endophyte-Plant Pathogen	Endophyte-Plant Pathogen-Plant Saprotroph	Endophyte-Plant Pathogen-Undefined Saprotroph	Endophyte-Plant Pathogen-Wood Saprotroph	Endophyte-Undefined Saprotroph	Endophyte-Undefined Saprotroph-Wood Saprotroph	Epiphyte	Epiphyte-Litter Saprotroph	Epiphyte-Undefined Saprotroph	Ericoid Mycorrhizal	Fungal Parasite	Fungal Parasite-Litter Saprotroph	Fungal Parasite-Litter Saprotroph-Undefined Saprotroph	Fungal Parasite-Plant Pathogen-Plant Saprotroph	Fungal Parasite-Soil Saprotroph-Undefined Saprotroph-Wood Saprotroph	Fungal Parasite-Undefined Saprotroph	Lichen Parasite	Lichen Parasite-Lichenized	Lichen Parasite-Wood Saprotroph	Lichenized	Lichenized-Wood Saprotroph	Litter Saprotroph	Litter Saprotroph-Soil Saprotroph-Wood Saprotroph	Litter Saprotroph-Wood Saprotroph	NULL	Orchid Mycorrhizal	Plant Pathogen	Plant Pathogen-Plant Saprotroph	Plant Pathogen-Undefined Saprotroph	Plant Pathogen-Wood Saprotroph	Plant Saprotroph	Plant Saprotroph-Wood Saprotroph	Soil Saprotroph	Soil Saprotroph-Undefined Saprotroph	Undefined Saprotroph	Undefined Saprotroph-Undefined Symbiotroph	Undefined Saprotroph-Wood Saprotroph	Unknown	Wood Saprotroph
avca-elkld_01_c21	0	0	0	0	0.119403865147338	0	2.10652004068576	0.0737060895971225	0	0.0663354806374103	3.26370564736058	0	0	0	0	0	0	0	0.0515942627179858	0.0648613588454678	0	0	9.36509574421039	0	0	0.0663354806374103	0	0	0	0	0	0	2.80967613544231	0	0	0.197532320120288	0	10.0844671786783	0.0810766985568348	0.0722319678051801	0	0	0	0	0.016215339711367	0	0	0	0.51152026180403	0	0	0	0	0	0	0	0	0	0	0	2.67405693058361	0	1.05104883765497	0.0766543331810074	0	0	1.77484263749871	0.0353789230066188	18.7817857511388	0.0221118268791368	0	46.5630850420862	0.0707578460132376
avca-elkld_02_c21	0	0	0	0	0	0	0.628078458803299	0	0.093264550727172	0.186529101454344	0.135525050275422	0	0.0437177581533619	0	0	0	0	0	0.432805805718283	0	0	0	0.145725860511206	0	0	0.0816064818862755	0	0	0	0.300195272653085	0	0	2.6944711608522	0	0	0.204016204715689	0	0.123866981434525	0	0.129696015854974	0	0	0	0	0	0	0	0.408032409431378	0.291451721022413	0	0	0	0	0.103465360962956	0	0	0	0	0	0	3.4303867564338	0	2.38990411238378	0.144268601906094	0	0	0.660138148115765	0	23.939844364781	0	0	63.2727113753607	0.160298446562327
avca-elkld_03_c21	0	0.00583073379784846	0	0	0	0	0.190956531879537	0.112241625608583	0.0495612372817119	0	0.494154689367657	0.180752747733302	0	0	0	0	0	0	1.59616337716102	0.0306113524387044	0.132649193901052	0	0.25509460365587	0	0.784233695810618	0	0	0	0	0.170548963587067	0	0	0.597650214279467	0	0	0.0349844027870908	0.0976647911139617	0.116614675956969	0	0.0276959855397802	0	0	0	0	0.104953208361272	0	0	1.31774583831375	0.415439783096703	0	0	0	0	0	0	0	0	0	0	0	4.64126410308737	0	10.100288621323	0.0335267193376286	0	0	0.411066732748316	0.335267193376286	14.0855951721524	0	0	63.4689950730299	0.208448733273082
avca-elkld_04_c21	0	0	0	0	0.0170832347762096	0	0.224710242056296	0.0827879839154774	0.03679465951799	0	1.02630818155536	0	0	0	0	0	0	0	0.303555941023417	0.0551919892769849	0	0	0.0157691397934243	0	0.0394228494835607	0	0	0	0	0.551919892769849	0	0.0144550448106389	0.66493206128939	0	0	0.0420510394491314	0	0	0.0157691397934243	0	0	0	0	0	0.0657047491392678	0	0	1.01973770664144	0.728008620463087	0	0	0	0	0	0	0.122210833399038	0	0	0	0	4.53099950064391	0	6.9541906489001	0.119582643433467	0	0	0.528266183079713	0.124839023364609	18.0832610581093	0	0	64.6206207784699	0.0118268548450682
avca-elkld_05_c21	0	0.00760786870992283	0	0	0.0119552222584502	0	0.593413759373981	0.00760786870992283	13.1605260297794	0.0097815454841865	0.331485708075209	0.0412998587110097	0	0.00760786870992283	0	0.0380393435496142	0	0	0.026084121291164	0	0	0	0.244538637104663	0	0.117378545810238	0	0	0	0.0141288990327138	0.672752961634605	0.0739050103249647	0	0.772742093250734	0	0	0	0	0.111944353874579	0	0.0358656667753505	0	0	0	0.0228236061297685	0	0	0	1.53352896424302	0.240191283556135	0	0	0	0	0	0	0	0	0	0	0	10.2282360612977	0	3.78437126399304	0	0	0	0.671666123247473	0.328225192913814	13.3605042930116	0	0	53.5191826975329	0.032605151613955
avca-elkld_06_c21	0	0	0	0	0.0248113035075348	0	0.181514273028807	0.00391757423803181	0.0679046201258847	0.0261171615868787	1.02379273420565	1.37768027370785	0	0	0	0.101856930188827	0	0	1.14915510982266	0	0.00522343231737575	0.00652929039671968	0.343440674867455	0	0.163232259917992	0.0235054454281909	0	0	0	0.0679046201258847	0	0	0.914100655540756	0	0	0.0443991746976939	0.188043563425527	0	0	0.0443991746976939	0	0	0	0	0.135809240251769	0	0	1.33589281516885	0.391757423803181	0	0	0	0	0.12275065945833	0	0	0	0	0	0	3.88884536028624	0	6.17279114105879	0.0679046201258847	0	0	0.169761550314712	0.0731280524432605	22.6514142442999	0	0	59.1410065554076	0.0914100655540756
avca-elkld_07_c21	0	0.0480692196763339	0	0	0	0	0.531674702480663	0.723951581185999	0.0233062883279195	0.0087398581229698	0.0684622219632635	0.320461464508893	0	0	0	0	0	0	0.608876782566896	0.0043699290614849	0.0640922929017786	0	0.0364160755123742	0	0	0.0174797162459396	0	0	0	0.154404160172467	0	0	2.29421275727957	0.189363592664346	0	0.0145664302049497	0	0.0407860045738591	0	0	0	0	0	0	0	0	0	0.426796405005025	1.84556670696712	0	0	0	0	0	0	0	0	0	0	0.286958675037509	10.6495171228387	0	5.1215568600603	0.0407860045738591	0	0	0.932251533116779	0	22.9435842158162	0	0	52.5236340330075	0.0801153661272232
avca-elkld_08_c21	0	0	0	0	0	0	0.542689296810344	0.187227807399569	2.1246285970125	0	0.077333224795474	0	0.0407016972607758	0	0	0	0	0	3.01328232053943	0	0	0	0.0949706269418101	0	0	0	0	0	0.0203508486303879	0	0	0	1.67012631093383	0.0664794388592671	0	0.0474853134709051	0	0.00814033945215515	0	0	0	0	0	0	0	0	0	3.62109433296702	0.218432441966163	0	0	0	0	0	0	0	0	0	0	0	1.69183388280625	0	0.440935053658404	0.720420041515731	0	0	0.245566906806681	0.0976840734258619	9.64223208107778	0	0	73.1680844424546	2.26030092121508
avca-elkld_09_c21	0	0	0	0.0320406584907745	0.0651861672743343	0	0.30272898022318	0.0486134128825544	0.120428681913601	0	0	0.00883880234228262	0.0287261076124185	0	0	0	0	0	0.173461495967296	0.0276212573196332	0	0	0	0	0	0	0	0	0	0	0	0	1.64401723566457	1.06839023312341	0	0.0729201193238316	0.0629764666887637	0.00883880234228262	0	0	0	0	0	0	0	0	0	4.22494751961109	1.59098442161087	0	0	0	0	0	0	0.057452215224837	0	0	0	0	4.22052811843995	0	3.92553309026627	0.0773395204949729	0	0	0.307148381394321	0.064081316981549	17.7350568997901	0	0	63.8824439288476	0.249696166169484
avca-elkld_10_c21	0.0215482411248182	0	0	0	0.0175079459139148	0	0.0942735549210796	0	0.068685018585358	0	0.373053924473415	26.8087054894144	0.0188547109842159	0	0	0	0	0	0.0996606152022841	0	0.0579108980229489	0	0.0350158918278295	0	0	0	0	0	0	0.569681624737381	0	0	0.510423961644131	0.0215482411248182	0	0.0202014760545171	0	0	0	0.0323223616872273	0	0	0	0	0.029628831546625	0	0	0.669342239939665	0.447126003339977	0	0	0	0	0	0	0	0	0	0	0	3.58374185207132	0	2.94268167860798	0	0	0	0.136023272100415	0.0350158918278295	7.01260572105802	0.0309755966169261	0	56.3190217098529	0.0444432473199375
