Kingdom	Phylum	Class	Order	Family	Genus	Species
Archaea	Aenigmarchaeota	Deep Sea Euryarchaeotic Group(DSEG)	NA	NA	NA	NA
Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrocosmicus	NA
Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrososphaera	NA
Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA	NA
Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011_GWC1_47_15	NA	NA
Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
Archaea	Thermoplasmatota	Thermoplasmata	Marine Group II	NA	NA	NA
Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus	NA
Archaea	Thermoplasmatota	Thermoplasmata	NA	NA	NA	NA
Bacteria	Abditibacteriota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium	NA
Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Bryocella	NA
Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Edaphobacter	NA
Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Granulicella	NA
Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Terracidiphilus	NA
Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	NA	NA
Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Koribacteraceae	Candidatus Koribacter	NA
Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	NA	NA	NA
Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	NA
Bacteria	Acidobacteriota	Acidobacteriae	Elev-16S-1166	NA	NA	NA
Bacteria	Acidobacteriota	Acidobacteriae	Paludibaculum	NA	NA	NA
Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus Solibacter	NA
Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 13	NA	NA	NA
Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 15	NA	NA	NA
Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	NA	NA	NA
Bacteria	Acidobacteriota	Acidobacteriae	NA	NA	NA	NA
Bacteria	Acidobacteriota	AT-s3-28	NA	NA	NA	NA
Bacteria	Acidobacteriota	Blastocatellia	11-24	NA	NA	NA
Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Aridibacter	NA
Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Blastocatella	NA
Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	JGI 0001001-H03	NA
Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	OLB17	NA
Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Stenotrophobacter	NA
Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Tellurimicrobium	multivorans
Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Tellurimicrobium	NA
Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	NA	NA
Bacteria	Acidobacteriota	Blastocatellia	DS-100	NA	NA	NA
