	Actinobacteriota	Proteobacteria	Acidobacteriota	Gemmatimonadota	Chloroflexi	Bacteroidota	Myxococcota	Planctomycetota	Verrucomicrobiota	Firmicutes	Crenarchaeota	Others	Unclassified
avca-elkld_01_c21	26.445132249905	29.1297285503018	13.3591395068812	5.17766661548532	6.72603702835716	2.40902515697858	3.62363931697146	3.66000501038443	3.32059187186346	1.28976992637967	0.988338734312244	3.40948578909514	0.461440243084454
avca-elkld_02_c21	32.8797876245188	30.146562982817	7.83091907025975	6.16213263224386	4.32433355242379	3.95557869757834	3.04905634608326	2.98332920760386	2.74005343530998	1.19503888144361	1.01236865242294	3.31025770159879	0.410581215695984
avca-elkld_03_c21	22.0965189873418	31.0379746835443	11.3259493670886	5.54193037974684	5.94303797468354	3.18117088607595	5.25474683544304	1.9129746835443	1.9501582278481	5.06329113924051	0.931170886075949	5.39161392405064	0.369462025316452
avca-elkld_04_c21	28.5745553237127	31.5067193906585	12.7894590926999	5.23616360001751	3.80181810222812	4.22497191134198	3.08318620226752	2.08439729765223	1.34971473596661	2.77311660076168	1.04037470999373	3.31810952387901	0.21741350882057
avca-elkld_05_c21	27.0175438596491	31.7221118834823	10.1390268123138	4.86511089043363	7.13505461767627	3.23733862959285	3.19844422376696	2.13588215822575	1.65259847732539	2.31297583581595	1.8669314796425	4.40251572327044	0.314465408805034
avca-elkld_06_c21	25.4659340471531	36.5133349854302	8.98028592669817	4.96227237380686	4.06415832785008	3.19168026798151	7.72583167411535	2.07566034027499	1.78170103313024	1.55354075694522	0.654572178118831	2.77894089196141	0.252087196534021
avca-elkld_07_c21	30.0636306587764	35.9476109825303	7.95821834155426	4.84078839938191	3.9446959831038	4.91703722697184	4.80704998009433	1.92174036262053	1.3144488154441	1.2726131755275	0.692987132166884	2.02025654694026	0.298922394887953
avca-elkld_08_c21	33.2056391006421	39.3519196528361	4.64632294565159	4.38964983004077	1.76665099393388	7.72254638229649	1.80519050078235	1.30726007230011	1.92851692269746	0.302920523828977	0.459390921633767	2.90819118678557	0.20580096657082
avca-elkld_09_c21	32.1597963435707	31.100270925627	7.37259029076506	5.8664997973391	3.08684552972715	2.7263224512725	2.90196189975041	2.09416265492893	2.06785229220147	0.833398516664415	0.664869977031764	8.6532649737963	0.472164347325233
avca-elkld_10_c21	31.763063070293	32.2469845193288	6.76205991637709	4.65543669296267	5.64254014621971	4.66506697055543	3.95162390555908	2.24385467911113	2.27274551188938	1.98062709157591	0.894813292993171	2.63307839848484	0.288105804649817
avca-elkld_11_c21	30.19480939745	44.107824736263	5.82745453368714	3.65024917481069	1.88013720794771	5.23008219532716	1.23940198045434	1.19215584751796	1.28729532069122	1.97980713222445	0.343667076564624	2.9396155588635	0.127499838198176
avca-elkld_12_c21	33.6922457550186	28.2311985411947	9.52565144972726	5.60392803858572	4.70243686798917	2.95392290750637	3.60912226967374	2.48659998894844	1.89613116617593	4.28405655238832	0.792554409175949	2.02480284814373	0.197349205472094
avca-elkld_13_c21	25.437408122676	38.3960741359929	7.77534372928256	4.70772201885107	4.20834174040873	4.10457440982331	7.19885855936356	3.44954313550284	1.66676274752832	0.355979592424985	0.652148848470873	1.85051739544	0.196725564234853
