	Kingdom	Phylum	Class	Order	Family	Genus	Species
1	Archaea	Aenigmarchaeota	Deep Sea Euryarchaeotic Group(DSEG)	NA	NA	NA	NA
2	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrocosmicus	NA
18	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrososphaera	NA
67	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA	NA
96	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011_GWC1_47_15	NA	NA
97	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
152	Archaea	Thermoplasmatota	Thermoplasmata	Marine Group II	NA	NA	NA
210	Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus	NA
211	Archaea	Thermoplasmatota	Thermoplasmata	NA	NA	NA	NA
229	Bacteria	Abditibacteriota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium	NA
370	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Bryocella	NA
371	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Edaphobacter	NA
373	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Granulicella	NA
376	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Terracidiphilus	NA
377	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	NA	NA
406	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Koribacteraceae	Candidatus Koribacter	NA
446	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	NA	NA	NA
518	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	NA
739	Bacteria	Acidobacteriota	Acidobacteriae	Elev-16S-1166	NA	NA	NA
744	Bacteria	Acidobacteriota	Acidobacteriae	Paludibaculum	NA	NA	NA
750	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus Solibacter	NA
798	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 13	NA	NA	NA
799	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 15	NA	NA	NA
800	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	NA	NA	NA
801	Bacteria	Acidobacteriota	Acidobacteriae	NA	NA	NA	NA
825	Bacteria	Acidobacteriota	AT-s3-28	NA	NA	NA	NA
826	Bacteria	Acidobacteriota	Blastocatellia	11-24	NA	NA	NA
973	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Aridibacter	NA
986	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Blastocatella	NA
1013	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	JGI 0001001-H03	NA
1065	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	OLB17	NA
1067	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Stenotrophobacter	NA
1071	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Tellurimicrobium	multivorans
