Sample	Name	Channel	Treatment	Richness	Shannon	NMDS1	NMDS2	betadisper
1	Channel 21, Station 01 + 07.5 BAF	Channel 21	Baffle	1605	6.72541686156155	-0.355736327450174	0.747645950007928	0.536700787194386
2	Channel 21, Station 01 + 49 ORD	Channel 21	One rock dam	1844	6.7683110577212	0.0542330272868297	-0.031610678448325	0.292575271852347
3	Channel 21, Station 02 + 15 BAF	Channel 21	Baffle	1973	6.90333658865712	-0.379994453389513	-0.326620582350225	0.426163239803219
4	Channel 21, Station 03 + 80 BAF	Channel 21	Baffle	1730	6.64666347024697	-0.078280945070526	-0.249607540813309	0.360527345245853
5	Channel 21, Station 04 + 90 ORD	Channel 21	One rock dam	1775	6.74525126710529	-0.3257989385182	0.0231634783635465	0.393197277786692
6	Channel 21, Station 06 + 36 BAF	Channel 21	Baffle	1544	6.68617510962101	-0.187028158065404	-0.116342973579484	0.346303322063737
7	Channel 21, Station 07 + 49.5 ORD	Channel 21	One rock dam	1938	6.87037614178293	-0.160915127779213	-0.0835250122435893	0.355513576556356
8	Channel 21, Station 07 + 66 BAF	Channel 21	Baffle	1215	5.95237717126643	0.462118566278511	-0.0839745076861327	0.392680360562147
9	Channel 21, Station 08 + 62 BAF	Channel 21	Baffle	1485	6.33385727039047	0.253660763048305	0.0896383195056908	0.322644605559348
10	Channel 21, Station 09 + 99 ORD	Channel 21	One rock dam	1665	6.71685649376324	0.0248570942844624	-0.0703117100956116	0.316710481982047
11	Channel 21, Station 10 + 13 BAF	Channel 21	Baffle	1356	5.97316815193047	0.41091794672862	-0.11403230491544	0.379908179954973
12	Channel 21, Station 11 + 12 ORD	Channel 21	One rock dam	1619	6.69150563525696	0.0614015303090769	0.179363978142028	0.316642346542741
13	Channel 21, Station 11 + 24 BAF	Channel 21	Baffle	1488	6.38456928928437	0.220273308136741	0.463578717918131	0.418435168032406
14	Channel 21, Station 11 + 63 ORD	Channel 21	One rock dam	1268	6.3060889145693	0.14627020585357	-0.173110566640949	0.32565294752597
15	Channel 21, Station 11 + 73 BAF	Channel 21	Baffle	1858	6.69688430563943	0.166835460678668	-0.0352967264240686	0.290637657734483
16	Channel 19, Station 01 + 04	Channel 19	Upland treatment	1373	6.53375282134679	0.0514006450106475	-0.124455825578497	0.319930722566645
17	Channel 19, Station 02 + 04	Channel 19	Upland treatment	1776	6.63651793833315	-0.189283418336692	-0.331808806240985	0.356177674207167
18	Channel 19, Station 02 + 52	Channel 19	Upland treatment	1377	5.95057995196613	0.27360827433162	-0.281652018716865	0.393000853435321
19	Channel 19, Station 03 + 63	Channel 19	Upland treatment	2020	6.85564084228354	-0.266045458908157	-0.0557907350756406	0.32774284604531
20	Channel 19, Station 03 + 98	Channel 19	Upland treatment	2053	6.86253614450249	-0.330237373224479	-0.0912892114467087	0.371427105063136
21	Channel 19, Station 05 + 00	Channel 19	Upland treatment	1961	6.87836678004204	-0.169427457357885	-0.224869495054139	0.309808426558695
22	Channel 19, Station 05 + 09	Channel 19	Upland treatment	1263	6.35533575142303	0.220346157850124	-0.143390256881728	0.368629524018448
23	Channel 19, Station 05 + 62	Channel 19	Upland treatment	1561	6.34532842870008	-1.00439887866928	-0.683415523538118	0.564614647288664
24	Channel 19, Station 06 + 13	Channel 19	Upland treatment	1711	6.78980005256097	-0.523359601318664	0.107015357053514	0.386460733010097
25	Channel 19, Station 06 + 97	Channel 19	Upland treatment	2065	6.47802370976393	0.00709500126511241	-0.190397943416565	0.32590017004719
26	Channel 19, Station 07 + 30	Channel 19	Upland treatment	1807	7.01000696198498	-0.67901015886426	0.540387195729539	0.506538054028216
27	Channel 19, Station 07 + 50	Channel 19	Upland treatment	1852	6.61167472715324	-0.0289911235155856	-0.450326610779682	0.406837055988524
28	Channel 19, Station 07 + 97	Channel 19	Upland treatment	1815	6.85826775860521	-0.253114583659586	0.0914343387824427	0.340878294279413
29	Channel 19, Station 09 + 05	Channel 19	Upland treatment	1654	6.54322609564568	0.0830241655331335	-0.333704706854744	0.362436996929277
30	Channel 19, Station 09 + 26	Channel 19	Upland treatment	2118	6.90424580262007	-0.473875131929493	0.0105048794099832	0.376011548155175
31	Channel 19, Station 09 + 68	Channel 19	Upland treatment	1886	6.63525648514733	-0.348313613976911	-0.159884044682627	0.414586510697209
32	Channel 19, Station 10 + 98	Channel 19	Upland treatment	1859	6.84281586437791	-0.513202759865327	-0.104349517126897	0.409584562678081
33	Channel 13, Station 1 + 11.5 BAF	Channel 13	Baffle	1576	5.90779618310572	0.321029044169558	-0.275070152135703	0.408463422285412
34	Channel 13, Station 1 + 38.5 ORD	Channel 13	One rock dam	993	5.35709849962222	0.428125052555799	-0.0139338038069361	0.37054131600487
35	Channel 13, Station 1 + 71 BAF	Channel 13	Baffle	1645	6.59641865870564	0.203949258158906	0.171043200668721	0.305263249836506
36	Channel 13, Station 1 + 77 ORD	Channel 13	One rock dam	1214	6.07694050078972	0.467813217761266	-0.197750426206355	0.433571025669643
37	Channel 13, Station 1 + 99 ORD	Channel 13	One rock dam	2181	6.92542388523957	-0.0746229789136879	0.255900096797037	0.314401830104344
38	Channel 13, Station 2 + 16 BAF	Channel 13	Baffle	1751	6.64808606830202	0.0170830804638532	0.12157844915461	0.289188394727685
39	Channel 13, Station 2 + 57 ORD	Channel 13	One rock dam	1605	6.55660011920575	0.184823675785448	0.0299504267719708	0.26654184846412
40	Channel 13, Station 2 + 67 BAF	Channel 13	Baffle	1462	6.54845366283783	0.184135175167271	0.166882196190951	0.300788107399055
41	Channel 13, Station 3 + 09 ORD	Channel 13	One rock dam	1590	6.38385600759655	0.359864064538611	0.183123642397195	0.36001316186273
42	Channel 13, Station 3 + 31 BAF	Channel 13	Baffle	1727	6.6561156515886	0.0226801191734116	0.0582693708270321	0.241725662912812
43	Channel 13, Station 3 + 65 ORD	Channel 13	One rock dam	1769	6.86155105837538	-0.254360921821612	0.248169387337944	0.392005500195149
44	Channel 13, Station 3 + 95.5 ORD	Channel 13	One rock dam	1924	6.8126351974655	-0.00189379962428862	0.0310065550811787	0.282150891810662
45	Channel 13, Station 4 + 14.5 BAF	Channel 13	Baffle	2288	7.06129320391486	-0.367943257304014	0.341490141000802	0.428985032426986
46	Channel 13, Station 4 + 36 ORD	Channel 13	One rock dam	1813	6.83216051455562	-0.0773026108278824	0.0440426970697898	0.27551120500121
47	Channel 13, Station 4 + 50 BAF	Channel 13	Baffle	2066	6.92711715174262	-0.157764620933743	0.0896912326804311	0.325578702676167
48	Channel 13, Station 4 + 78 ORD	Channel 13	One rock dam	1876	6.66185487595201	0.147365287622854	0.0951379211482242	0.252950520441903
49	Channel 12, Station 1 + 04	Channel 12	No treatment	2406	6.97964029420077	0.0163739785405012	0.150586988494373	0.294488783441699
50	Channel 12, Station 1 + 52	Channel 12	No treatment	1640	6.29911593152264	0.233859696177218	0.0533393329125034	0.2225409359762
51	Channel 12, Station 1 + 83	Channel 12	No treatment	1469	6.3079653889784	0.316943245501718	-0.0616447937797366	0.276951202122094
52	Channel 12, Station 2 + 63	Channel 12	No treatment	1630	6.41616555577824	0.249309138017947	-0.0133453707664383	0.228084826428154
53	Channel 12, Station 2 + 98	Channel 12	No treatment	1828	6.72849422767134	0.0534164932706885	-0.00730477375627322	0.321475412080714
54	Channel 12, Station 3 + 93	Channel 12	No treatment	1366	6.14496465806045	0.25722606307696	-0.0248167837718966	0.240302457508723
55	Channel 12, Station 4 + 00	Channel 12	No treatment	1197	5.4991063135612	0.488489368515839	-0.0818654324263149	0.349987583768671
56	Channel 12, Station 4 + 09	Channel 12	No treatment	1615	6.65869802104467	0.0332055804150402	0.102834841858065	0.277492630655904
57	Channel 12, Station 4 + 56	Channel 12	No treatment	1772	6.75048266694735	0.03057378164739	0.227493455798522	0.320865436212956
58	Channel 12, Station 4 + 65	Channel 12	No treatment	1508	6.57152207917943	0.184684641538041	0.139892059795997	0.248246409546251
59	Channel 12, Station 5 + 13	Channel 12	No treatment	1264	6.20918125225029	0.296345291411854	-0.0161933660054102	0.262485893711816
60	Channel 12, Station 5 + 48	Channel 12	No treatment	1343	6.30174460297139	0.298728453808439	0.0616690120292764	0.25100089892182
61	Channel 12, Station 6 + 30	Channel 12	No treatment	1651	6.62582054789601	0.115414247859598	0.115466025147978	0.255117809630873
62	Channel 12, Station 6 + 93	Channel 12	No treatment	1924	6.51897106754991	-0.146578402449054	0.211392953169992	0.404695971279
