	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	NA	NA
ASV_2	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	diffluens
ASV_4	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	globosa
ASV_6	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	equiseti
ASV_7	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Neoascochyta	triticicola
ASV_8	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Vaginatispora	NA
ASV_9	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	NA	NA
ASV_10	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	NA	NA
ASV_11	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV_12	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	NA
ASV_13	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	basi-inflatum
ASV_14	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV_15	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Vaginatispora	NA
ASV_16	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Trimorphomycetaceae	Saitozyma	paraflava
ASV_17	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV_18	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	magnum
ASV_19	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Clarireedia	bennettii
ASV_20	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Albifimbria	verrucaria
ASV_21	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Sclerostagonospora	NA
ASV_22	Fungi	Ascomycota	Dothideomycetes	Tubeufiales	Wiesneriomycetaceae	Spissiomyces	NA
ASV_23	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	equiseti
ASV_24	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Vaginatispora	NA
ASV_25	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Zopfiaceae	Didymocrea	leucaenae
ASV_26	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Wojnowiciella	NA
ASV_27	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	NA	NA
ASV_28	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lentitheciaceae	Poaceascoma	NA
ASV_29	Fungi	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae	Podospora	intestinacea
ASV_30	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Teichosporaceae	Teichosporaceae_gen_Incertae_sedis	NA
ASV_31	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	randhawae
ASV_32	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Amarenomyces	ammophilae
ASV_33	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV_34	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lentitheciaceae	Keissleriella	quadriseptata
ASV_35	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paracamarosporium	psoraleae
ASV_36	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraconiothyrium	NA
ASV_37	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Comoclathris	NA
ASV_38	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	NA
ASV_39	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Neodidymelliopsis	ranunculi
ASV_40	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriales_fam_Incertae_sedis	Neophaeococcomyces	NA
ASV_41	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	ellipsoidea
ASV_42	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	NA	NA
ASV_43	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Aplosporellaceae	Aplosporella	NA
ASV_44	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Zopfiella	NA
ASV_45	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV_46	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV_48	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraconiothyrium	NA
ASV_49	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Pseudochaetosphaeronema	kunmingense
ASV_50	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
ASV_51	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	NA
ASV_52	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Tiarosporella	var._karoo
ASV_53	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Pleiochaeta	NA
ASV_54	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	NA	NA
ASV_55	Fungi	Ascomycota	Sordariomycetes	Xylariales	Bartaliniaceae	Bartalinia	pondoensis
ASV_56	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Flabellascoma	NA
ASV_57	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV_58	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	NA	NA
ASV_59	Fungi	Blastocladiomycota	Blastocladiomycota_cls_Incertae_sedis	Blastocladiomycota_ord_Incertae_sedis	Blastocladiomycota_fam_Incertae_sedis	Blastocladiomycota_gen_Incertae_sedis	NA
ASV_60	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Trimorphomycetaceae	Saitozyma	paraflava
ASV_61	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Dimorphiseta	terrestris
ASV_62	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothideales_fam_Incertae_sedis	Dothideales_gen_Incertae_sedis	NA
ASV_63	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys	eriocamporesii
ASV_64	Fungi	Chytridiomycota	GS13	GS13_ord_Incertae_sedis	GS13_fam_Incertae_sedis	GS13_gen_Incertae_sedis	NA
ASV_65	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	basi-inflatum
ASV_66	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Articulospora	NA
ASV_67	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	NA	NA
ASV_68	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	NA
ASV_69	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Subramaniula	NA
ASV_70	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraphaeosphaeria	NA
ASV_71	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Edenia	gomezpompae
ASV_72	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariales_fam_Incertae_sedis	Sordariales_gen_Incertae_sedis	NA
ASV_73	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Forliomyces	NA
ASV_74	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Neoascochyta	triticicola
ASV_75	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Pleiochaeta	NA
ASV_76	Fungi	Ascomycota	Sordariomycetes	Xylariales	Bartaliniaceae	Bartalinia	robillardoides
ASV_77	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Westerdykella	minutispora
ASV_78	Fungi	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae	Podospora	bicolor
ASV_79	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	NA
ASV_80	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Selenophoma	mahoniae
ASV_81	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paracamarosporium	psoraleae
ASV_82	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Leucosporidiaceae	Leucosporidium	NA
ASV_83	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidium	NA
ASV_84	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	pullulans
ASV_85	Fungi	Ascomycota	Dothideomycetes	Tubeufiales	Wiesneriomycetaceae	Spissiomyces	NA
ASV_86	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Planistromellaceae	Ramimonilia	NA
ASV_87	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Nothophoma	prosopidis
ASV_88	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	NA
ASV_89	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	NA	NA
ASV_90	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Leucosporidiaceae	Leucosporidium	NA
ASV_91	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	albida
