Sample	Name	Channel	Station	Treatment1	Treatment2	Treatment3	Richness	Shannon	NMDS1	NMDS2	betadisper.channel	betadisper.treatment3
1	Channel 21, Station 01 + 07.5 BAF	Channel 21	Station 01 + 07.5 BAF	Baffle	In-channel treatment	Treated	241	4.23468667668081	-0.81954046033684	-0.5282788135508	0.633627710146891	0.65012052000315
2	Channel 21, Station 01 + 49 ORD	Channel 21	Station 01 + 49 ORD	One rock dam	In-channel treatment	Treated	211	4.46746298126177	-0.391226457401906	-0.431999037597847	0.563592412221302	0.577583360000979
3	Channel 21, Station 02 + 15 BAF	Channel 21	Station 02 + 15 BAF	Baffle	In-channel treatment	Treated	443	4.7346280778701	0.0601135469875688	0.0901882083699897	0.479583076535208	0.482945368100193
4	Channel 21, Station 03 + 80 BAF	Channel 21	Station 03 + 80 BAF	Baffle	In-channel treatment	Treated	288	4.50206929786493	-0.0181890377562863	-0.12569010766839	0.488157864313704	0.499655018818015
5	Channel 21, Station 04 + 90 ORD	Channel 21	Station 04 + 90 ORD	One rock dam	In-channel treatment	Treated	418	3.98912588401685	0.144445497593243	0.539861249096636	0.525302145004525	0.55949304239123
6	Channel 21, Station 06 + 36 BAF	Channel 21	Station 06 + 36 BAF	Baffle	In-channel treatment	Treated	488	4.66952081160328	-0.192468275700812	0.286896626364226	0.493399386204808	0.51083589004824
7	Channel 21, Station 07 + 49.5 ORD	Channel 21	Station 07 + 49.5 ORD	One rock dam	In-channel treatment	Treated	373	4.45231673062581	-0.345387975479048	0.180937812634672	0.492493922353825	0.52732341389574
8	Channel 21, Station 07 + 66 BAF	Channel 21	Station 07 + 66 BAF	Baffle	In-channel treatment	Treated	354	4.52533732506712	0.0619476716824734	-0.773413339981209	0.60966997507773	0.616687647679532
9	Channel 21, Station 08 + 62 BAF	Channel 21	Station 08 + 62 BAF	Baffle	In-channel treatment	Treated	302	4.63577873672822	-0.0265975298883204	-0.0529550863936893	0.474281153047927	0.46887857536376
10	Channel 21, Station 09 + 99 ORD	Channel 21	Station 09 + 99 ORD	One rock dam	In-channel treatment	Treated	244	3.13864191663475	0.0893146564978391	0.753593950108475	0.551434963063018	0.600330486491369
