Name,Washname,Distance,Elevatin 2011,Elevation 2019
1+83,12,0,1020.375794,1020.355347
1+83,12,0.6,1020.435791,1020.37439
1+83,12,1.2,1020.461914,1020.372498
1+83,12,1.8,1020.314514,1020.31665
1+83,12,2.4,1020.273987,1020.314209
1+83,12,3,1020.291809,1020.379334
1+83,12,3.6,1020.332153,1020.325317
1+83,12,4.2,1020.33313,1020.368042
1+83,12,4.8,1020.367859,1020.344177
1+83,12,5.4,1020.331848,1020.367981
1+83,12,6,1020.354492,1020.327881
1+83,12,6.6,1020.308777,1020.335144
1+83,12,7.2,1020.300903,1020.305359
1+83,12,7.8,1020.208069,1020.218811
1+83,12,8.4,1020.125794,1020.208618
1+83,12,9,1020.076355,1020.129273
1+83,12,9.6,1020.042786,1020.048218
1+83,12,10.2,1020.117188,1020.03064
1+83,12,10.8,1020.103699,1020.121216
1+83,12,11.4,1020.158325,1020.160523
1+83,12,12,1020.112244,1020.181824
1+83,12,12.6,1020.030579,1020.166138
1+83,12,13.2,1019.961243,1019.962463
1+83,12,13.8,1019.756653,1019.860413
1+83,12,14.4,1019.735046,1019.691528
1+83,12,15,1019.735046,1019.587708
1+83,12,15.6,1019.417664,1019.53479
1+83,12,16.2,1019.27832,1019.329895
1+83,12,16.8,1019.294128,1019.271912
1+83,12,17.4,1019.222412,1019.229675
1+83,12,18,1019.176514,1019.229675
1+83,12,18.6,1019.437378,1019.420776
1+83,12,19.2,1019.759888,1019.613464
1+83,12,19.8,1019.759888,1019.878967
1+83,12,20.4,1019.96051,1019.950501
1+83,12,21,1020.029968,1020.070068
1+83,12,21.6,1020.152527,1020.1073
1+83,12,22.2,1020.155212,1020.151184
1+83,12,22.8,1020.15271,1020.151184
1+83,12,23.4,1020.219544,1020.130798
1+83,12,24,1020.223816,1020.183411
1+83,12,24.6,1020.223816,1020.194641
1+83,12,25.2,1020.248413,1020.221252
1+83,12,25.8,1020.260498,1020.20398
1+83,12,26.4,1020.243347,1020.219482
1+83,12,27,1020.253479,1020.205627
1+83,12,27.6,1020.222534,1020.205627
1+83,12,28.2,1020.224365,1020.228943
1+83,12,28.8,1020.266724,1020.231751
1+83,12,29.4,1020.238342,1020.257935
1+83,12,30,1020.265381,1020.258545
1+83,12,30.6,1020.268677,1020.283203
1+83,12,31.2,1020.235474,1020.259094
1+83,12,31.8,1020.272949,1020.2724
1+83,12,32.4,1020.252075,1020.283203
1+83,12,33,1020.290527,1020.283203
1+83,12,33.6,1020.266785,1020.28833
1+83,12,34.2,1020.263977,1020.315674
