Name,Washname,Distance,Elevation 2011,Elevation 2019
7+50,19,0,1028.972046,1028.979736
7+50,19,0.6,1028.864746,1028.934815
7+50,19,1.2,1028.801148,1028.871948
7+50,19,1.8,1028.827881,1028.855103
7+50,19,2.4000001,1028.953369,1028.937256
7+50,19,3,1029.07959,1029.070679
7+50,19,3.5999999,1029.07959,1029.084839
7+50,19,4.1999998,1029.289795,1029.030151
7+50,19,4.8000002,1029.106201,1029.030151
7+50,19,5.4000001,1028.861328,1028.885498
7+50,19,6,1028.757202,1028.801392
7+50,19,6.5999999,1028.548096,1028.627808
7+50,19,7.1999998,1028.474121,1028.532349
7+50,19,7.8000002,1028.20813,1028.307495
7+50,19,8.3999996,1028.20813,1028.204346
7+50,19,9,1027.967285,1027.922363
7+50,19,9.6000004,1027.829712,1027.801392
7+50,19,10.1999998,1027.661499,1027.713501
7+50,19,10.8000002,1027.609863,1027.699707
7+50,19,11.3999996,1027.550659,1027.692749
7+50,19,12,1027.544434,1027.588623
7+50,19,12.6000004,1027.563843,1027.539551
7+50,19,13.1999998,1027.504883,1027.434326
7+50,19,13.8000002,1027.426025,1027.348511
7+50,19,14.3999996,1027.225098,1027.193481
7+50,19,15,1027.151245,1027.193481
7+50,19,15.6000004,1027.28125,1027.195435
7+50,19,16.2000008,1027.54541,1027.201416
7+50,19,16.7999992,1028.266724,1027.698975
7+50,19,17.3999996,1028.544678,1028.194946
7+50,19,18,1028.64856,1028.680664
7+50,19,18.6000004,1028.623901,1028.604004
7+50,19,19.2000008,1028.546509,1028.497192
7+50,19,19.7999992,1028.518311,1028.423462
7+50,19,20.3999996,1028.366211,1028.351929
7+50,19,21,1028.367065,1028.329468
7+50,19,21.6000004,1028.486084,1028.388184
7+50,19,22.2000008,1028.6521,1028.596314
7+50,19,22.7999992,1028.649292,1028.669434
7+50,19,23.3999996,1028.701904,1028.725464
7+50,19,24,1028.708496,1028.704468
7+50,19,24.6000004,1028.570557,1028.632568
7+50,19,25.2000008,1028.40918,1028.632568
7+50,19,25.7999992,1028.144287,1028.312378
7+50,19,26.3999996,1027.825928,1028.04187
7+50,19,27,1027.9021,1027.903687
7+50,19,27.6000004,1027.9021,1028.026001
7+50,19,28.2000008,1028.074951,1028.251709
7+50,19,28.7999992,1028.310547,1028.459473
7+50,19,29.3999996,1028.48877,1028.641968
7+50,19,30,1028.60437,1028.763428
7+50,19,30.6000004,1028.976563,1028.763428
