Name,Washname,Distance,Elevation 2011,Elevation 2019
1+07.5,21,0,1028.108765,1028.081055
1+07.5,21,0.6,1027.952881,1028.037598
1+07.5,21,1.2,1027.980103,1028.003296
1+07.5,21,1.8,1027.912354,1027.95813
1+07.5,21,2.4000001,1027.859863,1027.929688
1+07.5,21,3,1027.859863,1027.840942
1+07.5,21,3.5999999,1027.761108,1027.840942
1+07.5,21,4.1999998,1027.748291,1027.773438
1+07.5,21,4.8000002,1027.718384,1027.739136
1+07.5,21,5.4000001,1027.673218,1027.689453
1+07.5,21,6,1027.645874,1027.64624
1+07.5,21,6.5999999,1027.608765,1027.624023
1+07.5,21,7.1999998,1027.577637,1027.581787
1+07.5,21,7.8000002,1027.469727,1027.526611
1+07.5,21,8.3999996,1027.516968,1027.467407
1+07.5,21,9,1027.445557,1027.484253
1+07.5,21,9.6000004,1027.421631,1027.442017
1+07.5,21,10.1999998,1027.350098,1027.410523
1+07.5,21,10.8000002,1027.329346,1027.370361
1+07.5,21,11.3999996,1027.355225,1027.238403
1+07.5,21,12,1027.234741,1027.201782
1+07.5,21,12.6000004,1027.219849,1027.201782
1+07.5,21,13.1999998,1027.149658,1027.076416
1+07.5,21,13.8000002,1027.032471,1027.008911
1+07.5,21,14.3999996,1026.923706,1026.931152
1+07.5,21,15,1026.713257,1026.809448
1+07.5,21,15.6000004,1026.60022,1026.664063
1+07.5,21,16.2000008,1026.381226,1026.648682
1+07.5,21,16.7999992,1026.441406,1026.489136
1+07.5,21,17.3999996,1026.168701,1026.300171
1+07.5,21,18,1025.9552,1026.165772
1+07.5,21,18.6000004,1025.78125,1025.999756
1+07.5,21,19.2000008,1025.821533,1025.97229
1+07.5,21,19.7999992,1025.860352,1025.931397
1+07.5,21,20.3999996,1025.796875,1025.941162
1+07.5,21,21,1025.80542,1025.940186
1+07.5,21,21.6000004,1025.456787,1025.93457
1+07.5,21,22.2000008,1025.3927,1025.982544
1+07.5,21,22.7999992,1025.247803,1025.963379
1+07.5,21,23.3999996,1025.300903,1025.935059
1+07.5,21,24,1025.349976,1025.884277
1+07.5,21,24.6000004,1025.417236,1025.851807
1+07.5,21,25.2000008,1025.547607,1025.911255
1+07.5,21,25.7999992,1025.656128,1026.014771
1+07.5,21,26.3999996,1025.898682,1026.192749
1+07.5,21,27,1026.338135,1026.281006
1+07.5,21,27.6000004,1026.392944,1026.393311
1+07.5,21,28.2000008,1026.610107,1026.637207
1+07.5,21,28.7999992,1026.734619,1026.740723
1+07.5,21,29.3999996,1026.734619,1026.860718
1+07.5,21,30,1027.184692,1027.2146
1+07.5,21,30.6000004,1027.30188,1027.2146
1+07.5,21,31.2000008,1027.31311,1027.302856
1+07.5,21,31.7999992,1027.336182,1027.306397
1+07.5,21,32.4000015,1027.32666,1027.261841
1+07.5,21,33,1027.313477,1027.249512
1+07.5,21,33.5999985,1027.28479,1027.248535
1+07.5,21,34.2000008,1027.252319,1027.25647
1+07.5,21,34.7999992,1027.159912,1027.133423
1+07.5,21,35.4000015,1027.022583,1027.024536
1+07.5,21,36,1026.985596,1026.945068
1+07.5,21,36.5999985,1026.998779,1026.981567
1+07.5,21,37.2000008,1026.986816,1027.03833
1+07.5,21,37.7999992,1026.986816,1027.109497
1+07.5,21,38.4000015,1027.154907,1027.266113
1+07.5,21,39,1027.242676,1027.33252
1+07.5,21,39.5999985,1027.344849,1027.418579
1+07.5,21,40.2000008,1027.44165,1027.445679
1+07.5,21,40.7999992,1027.463379,1027.487427
1+07.5,21,41.4000015,1027.525879,1027.542358
1+07.5,21,42,1027.556641,1027.554688
1+07.5,21,42.5999985,1027.647705,1027.617188
1+07.5,21,43.2000008,1027.691773,1027.690918
1+07.5,21,43.7999992,1027.797119,1027.724976
1+07.5,21,44.4000015,1027.868164,1027.782959
1+07.5,21,45,1027.806519,1027.818848
1+07.5,21,45.5999985,1027.812622,1027.856567
1+07.5,21,46.2000008,1027.812622,1027.856567
