Sample,Year,year.xaxis,Treatment,Cover
1,2012,2012-01-01,Treated,20.333333333333332
2,2012,2012-01-01,Treated,18.25
3,2012,2012-01-01,Treated,20
4,2012,2012-01-01,Treated,2.8333333333333335
5,2012,2012-01-01,Treated,6.333333333333333
6,2012,2012-01-01,Treated,10.583333333333334
7,2012,2012-01-01,Treated,3.9166666666666665
8,2012,2012-01-01,Treated,3.1666666666666665
9,2012,2012-01-01,Treated,29.333333333333332
10,2012,2012-01-01,Treated,2.0833333333333335
11,2012,2012-01-01,Treated,2.5
12,2012,2012-01-01,Treated,22.666666666666668
13,2012,2012-01-01,Treated,35
14,2012,2012-01-01,Treated,27.333333333333332
15,2012,2012-01-01,Treated,8.916666666666666
16,2012,2012-01-01,Control,49.583333333333336
18,2012,2012-01-01,Control,46.083333333333336
19,2012,2012-01-01,Control,44.75
20,2012,2012-01-01,Control,51
21,2012,2012-01-01,Control,61.66666666666667
22,2012,2012-01-01,Control,21.833333333333332
23,2012,2012-01-01,Control,16.666666666666668
24,2012,2012-01-01,Control,38
25,2012,2012-01-01,Control,27
26,2012,2012-01-01,Control,45.08333333333333
27,2012,2012-01-01,Control,27
28,2012,2012-01-01,Control,22.833333333333332
29,2012,2012-01-01,Control,59.416666666666664
30,2012,2012-01-01,Control,34.083333333333336
31,2012,2012-01-01,Control,7.083333333333333
32,2012,2012-01-01,Control,33.583333333333336
33,2012,2012-01-01,Treated,17.833333333333332
34,2012,2012-01-01,Treated,48.75
35,2012,2012-01-01,Treated,42.416666666666664
36,2012,2012-01-01,Treated,46.416666666666664
37,2012,2012-01-01,Treated,37.875
38,2012,2012-01-01,Treated,15.666666666666666
39,2012,2012-01-01,Treated,22.083333333333336
40,2012,2012-01-01,Treated,58.166666666666664
41,2012,2012-01-01,Treated,54.33333333333333
42,2012,2012-01-01,Treated,51.833333333333336
43,2012,2012-01-01,Treated,32.5
44,2012,2012-01-01,Treated,36.333333333333336
45,2012,2012-01-01,Treated,45.666666666666664
46,2012,2012-01-01,Treated,23.083333333333332
47,2012,2012-01-01,Treated,24.75
48,2012,2012-01-01,Treated,57.5
49,2012,2012-01-01,Control,17.666666666666668
50,2012,2012-01-01,Control,35.166666666666664
51,2012,2012-01-01,Control,13.333333333333334
52,2012,2012-01-01,Control,28.583333333333332
53,2012,2012-01-01,Control,11.166666666666666
54,2012,2012-01-01,Control,47.083333333333336
55,2012,2012-01-01,Control,17.208333333333332
56,2012,2012-01-01,Control,41.75
57,2012,2012-01-01,Control,39
58,2012,2012-01-01,Control,29.333333333333332
59,2012,2012-01-01,Control,29.333333333333332
60,2012,2012-01-01,Control,25.5
61,2012,2012-01-01,Control,15.166666666666666
62,2012,2012-01-01,Control,16
1,2013,2013-01-01,Treated,6.333333333333333
2,2013,2013-01-01,Treated,15.5
3,2013,2013-01-01,Treated,12.666666666666666
4,2013,2013-01-01,Treated,6.75
5,2013,2013-01-01,Treated,1.75
6,2013,2013-01-01,Treated,20.833333333333332
7,2013,2013-01-01,Treated,5.416666666666667
8,2013,2013-01-01,Treated,0.8333333333333334
9,2013,2013-01-01,Treated,11.25
10,2013,2013-01-01,Treated,5.416666666666667
