Sample,Year,year.xaxis,Treatment,Cover
1,2012,2012-01-01,Treated,20.333333333333332
2,2012,2012-01-01,Treated,7.75
3,2012,2012-01-01,Treated,20
4,2012,2012-01-01,Treated,2.8333333333333335
5,2012,2012-01-01,Treated,6.333333333333333
6,2012,2012-01-01,Treated,5.083333333333333
7,2012,2012-01-01,Treated,3.8333333333333335
8,2012,2012-01-01,Treated,3.1666666666666665
9,2012,2012-01-01,Treated,13.5
10,2012,2012-01-01,Treated,1.5
11,2012,2012-01-01,Treated,2.5
12,2012,2012-01-01,Treated,12.416666666666666
13,2012,2012-01-01,Treated,14.166666666666666
14,2012,2012-01-01,Treated,12.583333333333334
15,2012,2012-01-01,Treated,8.833333333333334
16,2012,2012-01-01,Control,16.166666666666668
18,2012,2012-01-01,Control,45.583333333333336
19,2012,2012-01-01,Control,26.833333333333332
20,2012,2012-01-01,Control,33
21,2012,2012-01-01,Control,52
22,2012,2012-01-01,Control,9.666666666666668
23,2012,2012-01-01,Control,13.75
24,2012,2012-01-01,Control,13.416666666666668
25,2012,2012-01-01,Control,18.25
26,2012,2012-01-01,Control,45
27,2012,2012-01-01,Control,26.916666666666668
28,2012,2012-01-01,Control,22
29,2012,2012-01-01,Control,36.833333333333336
30,2012,2012-01-01,Control,30.333333333333336
31,2012,2012-01-01,Control,3.75
32,2012,2012-01-01,Control,20.25
33,2012,2012-01-01,Treated,4.416666666666667
34,2012,2012-01-01,Treated,0.75
35,2012,2012-01-01,Treated,1.5
36,2012,2012-01-01,Treated,5.083333333333334
37,2012,2012-01-01,Treated,12.875
38,2012,2012-01-01,Treated,5.666666666666667
39,2012,2012-01-01,Treated,14
40,2012,2012-01-01,Treated,16.333333333333332
41,2012,2012-01-01,Treated,13.333333333333334
42,2012,2012-01-01,Treated,16
43,2012,2012-01-01,Treated,16.666666666666668
44,2012,2012-01-01,Treated,14.25
45,2012,2012-01-01,Treated,23.166666666666664
46,2012,2012-01-01,Treated,22.166666666666664
47,2012,2012-01-01,Treated,22.25
48,2012,2012-01-01,Treated,31.25
49,2012,2012-01-01,Control,15.75
50,2012,2012-01-01,Control,26.75
51,2012,2012-01-01,Control,12.833333333333334
52,2012,2012-01-01,Control,6.666666666666667
53,2012,2012-01-01,Control,9.916666666666666
54,2012,2012-01-01,Control,20.833333333333332
55,2012,2012-01-01,Control,13.791666666666666
56,2012,2012-01-01,Control,8.833333333333332
57,2012,2012-01-01,Control,13.5
58,2012,2012-01-01,Control,15.5
59,2012,2012-01-01,Control,11.833333333333334
