Sample,Year,year.xaxis,Treatment,Cover
1,2012,2012-01-01,Treated,5.25
2,2012,2012-01-01,Treated,0.5
3,2012,2012-01-01,Treated,10.833333333333332
4,2012,2012-01-01,Treated,0.08333333333333333
5,2012,2012-01-01,Treated,5
6,2012,2012-01-01,Treated,0.5833333333333334
7,2012,2012-01-01,Treated,0
8,2012,2012-01-01,Treated,2.5
9,2012,2012-01-01,Treated,11.75
10,2012,2012-01-01,Treated,1
11,2012,2012-01-01,Treated,0
12,2012,2012-01-01,Treated,9.25
13,2012,2012-01-01,Treated,6.25
14,2012,2012-01-01,Treated,4.166666666666667
15,2012,2012-01-01,Treated,5
16,2012,2012-01-01,Control,3.0833333333333335
18,2012,2012-01-01,Control,0.4166666666666667
19,2012,2012-01-01,Control,3.8333333333333335
20,2012,2012-01-01,Control,9.166666666666666
21,2012,2012-01-01,Control,10
22,2012,2012-01-01,Control,0
23,2012,2012-01-01,Control,0.4166666666666667
24,2012,2012-01-01,Control,0.4166666666666667
25,2012,2012-01-01,Control,6.333333333333333
26,2012,2012-01-01,Control,1.4166666666666663
27,2012,2012-01-01,Control,5.5
28,2012,2012-01-01,Control,6.666666666666666
29,2012,2012-01-01,Control,7.583333333333333
30,2012,2012-01-01,Control,11.25
31,2012,2012-01-01,Control,0
32,2012,2012-01-01,Control,0.9166666666666669
33,2012,2012-01-01,Treated,0.5
34,2012,2012-01-01,Treated,0.16666666666666666
35,2012,2012-01-01,Treated,0.16666666666666666
36,2012,2012-01-01,Treated,0.5833333333333334
37,2012,2012-01-01,Treated,0
38,2012,2012-01-01,Treated,2.5
39,2012,2012-01-01,Treated,0.08333333333333333
40,2012,2012-01-01,Treated,0.4166666666666667
41,2012,2012-01-01,Treated,0.6666666666666667
42,2012,2012-01-01,Treated,0
43,2012,2012-01-01,Treated,0
44,2012,2012-01-01,Treated,0.08333333333333333
45,2012,2012-01-01,Treated,0
46,2012,2012-01-01,Treated,9.791666666666666
47,2012,2012-01-01,Treated,5.729166666666667
48,2012,2012-01-01,Treated,19.166666666666668
49,2012,2012-01-01,Control,0.08333333333333333
50,2012,2012-01-01,Control,5.916666666666666
51,2012,2012-01-01,Control,5
52,2012,2012-01-01,Control,3.9166666666666665
53,2012,2012-01-01,Control,0.5833333333333334
54,2012,2012-01-01,Control,0.5833333333333334
55,2012,2012-01-01,Control,3.5
56,2012,2012-01-01,Control,1.75
57,2012,2012-01-01,Control,3.3333333333333335
58,2012,2012-01-01,Control,0.5
59,2012,2012-01-01,Control,5.416666666666667
60,2012,2012-01-01,Control,0.8333333333333334
61,2012,2012-01-01,Control,1.25
62,2012,2012-01-01,Control,0.5
1,2013,2013-01-01,Treated,1.4166666666666663
2,2013,2013-01-01,Treated,2.6666666666666665
3,2013,2013-01-01,Treated,8.833333333333332
4,2013,2013-01-01,Treated,0.8333333333333334
5,2013,2013-01-01,Treated,0.25
6,2013,2013-01-01,Treated,3
7,2013,2013-01-01,Treated,0.5833333333333334
8,2013,2013-01-01,Treated,0.6666666666666667
9,2013,2013-01-01,Treated,3.4166666666666665
10,2013,2013-01-01,Treated,0.5
11,2013,2013-01-01,Treated,0.08333333333333333
12,2013,2013-01-01,Treated,8.833333333333334
13,2013,2013-01-01,Treated,9.166666666666666
14,2013,2013-01-01,Treated,3.8333333333333335
15,2013,2013-01-01,Treated,2.666666666666667
16,2013,2013-01-01,Control,2.9166666666666665
17,2013,2013-01-01,Control,3
18,2013,2013-01-01,Control,1.3333333333333333
19,2013,2013-01-01,Control,3.0833333333333335
20,2013,2013-01-01,Control,19.583333333333332
21,2013,2013-01-01,Control,3.666666666666667
22,2013,2013-01-01,Control,0.5
23,2013,2013-01-01,Control,2.9166666666666665
24,2013,2013-01-01,Control,0
25,2013,2013-01-01,Control,0.9166666666666666
26,2013,2013-01-01,Control,1.6666666666666667
27,2013,2013-01-01,Control,0.8333333333333334
28,2013,2013-01-01,Control,5.083333333333333
29,2013,2013-01-01,Control,3.3333333333333335
30,2013,2013-01-01,Control,2.5833333333333335
31,2013,2013-01-01,Control,0
32,2013,2013-01-01,Control,5.416666666666667
33,2013,2013-01-01,Treated,0
34,2013,2013-01-01,Treated,0.4166666666666667
35,2013,2013-01-01,Treated,0.4166666666666667
37,2013,2013-01-01,Treated,0
38,2013,2013-01-01,Treated,0
39,2013,2013-01-01,Treated,2.5
40,2013,2013-01-01,Treated,0.08333333333333333
41,2013,2013-01-01,Treated,0.5
42,2013,2013-01-01,Treated,0.5
43,2013,2013-01-01,Treated,0.25
44,2013,2013-01-01,Treated,2.666666666666667
45,2013,2013-01-01,Treated,0.5833333333333334
46,2013,2013-01-01,Treated,5.416666666666667
47,2013,2013-01-01,Treated,3.0833333333333335
49,2013,2013-01-01,Control,0.5
