Sample,Year,Treatment,Functional,Native,Common,Scientific,Cover
1,2012,Treated,Annual forb,Unknown native status,Annual forb (year summed),NA,2.9166666666666665
1,2012,Treated,Annual grass,Unknown native status,Annual grass (year summed),NA,5.5
1,2012,Treated,Perennial forb,Invasive,Spreading fantails,Sida abutifolia,2.5833333333333335
1,2012,Treated,Perennial forb,Native,Arizona blue eyes,Evolvulus arizonicus,0.4166666666666667
1,2012,Treated,Perennial forb,Native,Slender janusia,Janusia gracilis,0.4166666666666667
1,2012,Treated,Perennial grass,Invasive,Lehmann lovegrass,Eragrostis lehmanniana,2.6666666666666665
1,2012,Treated,Perennial grass,Native,Slender grama,Bouteloua repens,5.833333333333333
1,2012,Treated,Tree,Native,Velvet mesquite,Prosopis velutina,16.666666666666668
2,2012,Treated,Annual grass,Unknown native status,Annual grass (year summed),NA,0.5
2,2012,Treated,Perennial forb,Invasive,Spreading fantails,Sida abutifolia,0.4166666666666667
2,2012,Treated,Perennial forb,Native,Arizona blue eyes,Evolvulus arizonicus,0.08333333333333333
2,2012,Treated,Perennial grass,Invasive,Lehmann lovegrass,Eragrostis lehmanniana,0.08333333333333333
2,2012,Treated,Perennial grass,Native,Slender grama,Bouteloua repens,6.25
2,2012,Treated,Perennial grass,Native,Spidergrass,Aristida ternipes var. ternipes/gentilis,0.4166666666666667
2,2012,Treated,Shrub,Native,False mesquite,Calliandra eriophylla,10.5
2,2012,Treated,Tree,Native,Velvet mesquite,Prosopis velutina,8.75
3,2012,Treated,Annual forb,Native,Coulter's spiderling,Boerhavia coulteri,0.08333333333333333
3,2012,Treated,Annual grass,Unknown native status,Annual grass (year summed),NA,0.5
3,2012,Treated,Perennial forb,Invasive,Spreading fantails,Sida abutifolia,0.4166666666666667
3,2012,Treated,Perennial forb,Native,Ayenia,Ayenia microphylla,0.08333333333333333
3,2012,Treated,Perennial forb,Native,Ragweed,Ambrosia confertiflora,0.08333333333333333
3,2012,Treated,Perennial grass,Invasive,Lehmann lovegrass,Eragrostis lehmanniana,10.416666666666666
3,2012,Treated,Perennial grass,Native,Sideoats grama,Bouteloua curtipendula,5.416666666666667
3,2012,Treated,Perennial grass,Native,Slender grama,Bouteloua repens,0.4166666666666667
3,2012,Treated,Perennial grass,Native,Spidergrass,Aristida ternipes var. ternipes/gentilis,2.5833333333333335
3,2012,Treated,Tree,Native,Velvet mesquite,Prosopis velutina,6.666666666666667
4,2012,Treated,Perennial forb,Native,Arizona blue eyes,Evolvulus arizonicus,0.08333333333333333
4,2012,Treated,Perennial forb,Native,Ayenia,Ayenia microphylla,0.08333333333333333
4,2012,Treated,Perennial grass,Invasive,Lehmann lovegrass,Eragrostis lehmanniana,0.08333333333333333
4,2012,Treated,Perennial grass,Native,Sideoats grama,Bouteloua curtipendula,2.5
4,2012,Treated,Perennial grass,Native,Spidergrass,Aristida ternipes var. ternipes/gentilis,0.08333333333333333
4,2012,Treated,Tree,Native,Foothill palo verde,Parkinsonia microphylla,24.583333333333332
5,2012,Treated,Perennial forb,Native,Ragweed,Ambrosia confertiflora,0.8333333333333334
5,2012,Treated,Perennial grass,Invasive,Lehmann lovegrass,Eragrostis lehmanniana,5
5,2012,Treated,Perennial grass,Native,Slender grama,Bouteloua repens,0.4166666666666667
5,2012,Treated,Perennial grass,Native,Spidergrass,Aristida ternipes var. ternipes/gentilis,0.08333333333333333
5,2012,Treated,Tree,Native,Velvet mesquite,Prosopis velutina,2.5
6,2012,Treated,Annual forb,Unknown native status,Annual forb (year summed),NA,0.16666666666666666
6,2012,Treated,Annual grass,Unknown native status,Annual grass (year summed),NA,0.4166666666666667
6,2012,Treated,Annual grass,Unknown native status,Brachiaria,Brachiaria,0.08333333333333333
6,2012,Treated,Perennial forb,Native,Ayenia,Ayenia microphylla,0.4166666666666667
6,2012,Treated,Perennial grass,Invasive,Lehmann lovegrass,Eragrostis lehmanniana,0.5833333333333334
6,2012,Treated,Perennial grass,Native,Sideoats grama,Bouteloua curtipendula,2.9166666666666665
6,2012,Treated,Perennial grass,Native,Tanglehead,Heteropogon contortus,0.4166666666666667
6,2012,Treated,Perennial grass,Unknown native status,"Unknown perennial grass, C21",NA,0.08333333333333333
6,2012,Treated,Shrub,Native,AZ wrightwort,Carlowrightia arizonica,0.08333333333333333
6,2012,Treated,Shrub,Native,False mesquite,Calliandra eriophylla,5.416666666666667
6,2012,Treated,Tree,Native,Velvet mesquite,Prosopis velutina,10.416666666666666
